zio	qhandziwTuan	qhandziwDriang	zyephengTuan	zyephengDriang
56	嚴	下平聲二十八嚴	ŊIAM	Xrábrieŋshieŋ‐XXVIII ŊIAM
57	凡	下平聲二十九凡	BYAM	Xrábrieŋshieŋ‐XXIX BYAM
58	董	上聲一董	TÚŊ	Diáŋshieŋ‐I TÚŊ
59	腫	上聲二腫	TYÓŊ	Diáŋshieŋ‐II TYÓŊ
60	講	上聲三講	KRÓŊ	Diáŋshieŋ‐III KRÓŊ
61	紙	上聲四紙	TIÉ	Diáŋshieŋ‐IV TIÉ
62	旨	上聲五旨	TÍ	Diáŋshieŋ‐V TÍ
63	止	上聲六止	TIƏ́	Diáŋshieŋ‐VI TIƏ́
64	尾	上聲七尾	MYÚI	Diáŋshieŋ‐VII MYÚI
65	語	上聲八語	ŊIÓ	Diáŋshieŋ‐VIII ŊIÓ
66	麌	上聲九麌	ŊYÓ	Diáŋshieŋ‐IX ŊYÓ
67	姥	上聲十姥	MÓ	Diáŋshieŋ‐X MÓ
68	薺	上聲十一薺	DZÉI	Diáŋshieŋ‐XI DZÉI
69	蟹	上聲十二蟹	XRÉ	Diáŋshieŋ‐XII XRÉ
70	駭	上聲十三駭	XRÉI	Diáŋshieŋ‐XIII XRÉI
71	賄	上聲十四賄	QHÚI	Diáŋshieŋ‐XIV QHÚI
72	海	上聲十五海	QHƏ́I	Diáŋshieŋ‐XV QHƏ́I
73	軫	上聲十六軫	TÍN	Diáŋshieŋ‐XVI TÍN
74	準	上聲十七準	TÝN	Diáŋshieŋ‐XVII TÝN
75	吻	上聲十八吻	MYÚN	Diáŋshieŋ‐XVIII MYÚN
76	隱	上聲十九隱	QIƏ́N	Diáŋshieŋ‐XIX QIƏ́N
77	阮	上聲二十阮	ŊYÁN	Diáŋshieŋ‐XX ŊYÁN
78	混	上聲二十一混	XÚN	Diáŋshieŋ‐XXI XÚN
79	很	上聲二十二很	XƏ́N	Diáŋshieŋ‐XXII XƏ́N
80	旱	上聲二十三旱	XÁN	Diáŋshieŋ‐XXIII XÁN
81	緩	上聲二十四緩	XUÁN	Diáŋshieŋ‐XXIV XUÁN
82	潸	上聲二十五潸	SRÁN	Diáŋshieŋ‐XXV SRÁN
83	産	上聲二十六産	SRÉN	Diáŋshieŋ‐XXVI SRÉN
84	銑	上聲二十七銑	SÉN	Diáŋshieŋ‐XXVII SÉN
85	獮	上聲二十八獮	SIÉN	Diáŋshieŋ‐XXVIII SIÉN
86	篠	上聲二十九篠	SÉU	Diáŋshieŋ‐XXIX SÉU
87	小	上聲三十小	SIÉU	Diáŋshieŋ‐XXX SIÉU
88	巧	上聲三十一巧	KHRÁU	Diáŋshieŋ‐XXXI KHRÁU
89	皓	上聲三十二皓	XÁU	Diáŋshieŋ‐XXXII XÁU
90	哿	上聲三十三哿	KÁ	Diáŋshieŋ‐XXXIII KÁ
91	果	上聲三十四果	KUÁ	Diáŋshieŋ‐XXXIV KUÁ
92	馬	上聲三十五馬	MRÁ	Diáŋshieŋ‐XXXV MRÁ
93	養	上聲三十六養	JIÁŊ	Diáŋshieŋ‐XXXVI JIÁŊ
94	蕩	上聲三十七蕩	DÁŊ	Diáŋshieŋ‐XXXVII DÁŊ
95	梗	上聲三十八梗	KRÁŊ	Diáŋshieŋ‐XXXVIII KRÁŊ
96	耿	上聲三十九耿	KRÉŊ	Diáŋshieŋ‐XXXIX KRÉŊ
97	靜	上聲四十靜	DZIÉŊ	Diáŋshieŋ‐XL DZIÉŊ
98	迥	上聲四十一迥	XUÉŊ	Diáŋshieŋ‐XLI XUÉŊ
99	拯	上聲四十二拯	TIƏ́Ŋ	Diáŋshieŋ‐XLII TIƏ́Ŋ
100	等	上聲四十三等	TƏ́Ŋ	Diáŋshieŋ‐XLIII TƏ́Ŋ
101	有	上聲四十四有	XYÚ	Diáŋshieŋ‐XLIV XYÚ
102	厚	上聲四十五厚	XÚ	Diáŋshieŋ‐XLV XÚ
103	黝	上聲四十六黝	QÍU	Diáŋshieŋ‐XLVI QÍU
104	寢	上聲四十七寢	CHÍM	Diáŋshieŋ‐XLVII CHÍM
105	感	上聲四十八感	KƏ́M	Diáŋshieŋ‐XLVIII KƏ́M
106	敢	上聲四十九敢	KÁM	Diáŋshieŋ‐XLIX KÁM
107	琰	上聲五十琰	JIÉM	Diáŋshieŋ‐L JIÉM
108	忝	上聲五十一忝	THÉM	Diáŋshieŋ‐LI THÉM
109	豏	上聲五十三豏	XRÉM	Diáŋshieŋ‐LII XRÉM
110	檻	上聲五十四檻	XRÁM	Diáŋshieŋ‐LIII XRÁM
111	儼	上聲五十二儼	ŊIÁM	Diáŋshieŋ‐LIV ŊIÁM
112	范	上聲五十五范	BYÁM	Diáŋshieŋ‐LV BYÁM
113	送	去聲一送	SÛŊ	Khiôshieŋ‐I SÛŊ
114	宋	去聲二宋	SÔŊ	Khiôshieŋ‐II SÔŊ
115	用	去聲三用	JYÔŊ	Khiôshieŋ‐III JYÔŊ
116	絳	去聲四絳	KRÔŊ	Khiôshieŋ‐IV KRÔŊ
117	寘	去聲五寘	TIÊ	Khiôshieŋ‐V TIÊ
118	至	去聲六至	TÎ	Khiôshieŋ‐VI TÎ
119	志	去聲七志	TIƏ̂	Khiôshieŋ‐VII TIƏ̂
120	未	去聲八未	MYÛI	Khiôshieŋ‐VIII MYÛI
121	御	去聲九御	ŊIÔ	Khiôshieŋ‐IX ŊIÔ
122	遇	去聲十遇	ŊYÔ	Khiôshieŋ‐X ŊYÔ
123	暮	去聲十一暮	MÔ	Khiôshieŋ‐XI MÔ
124	霽	去聲十二霽	CÊI	Khiôshieŋ‐XII CÊI
125	祭	去聲十三祭	CIÊI	Khiôshieŋ‐XIII CIÊI
126	泰	去聲十四泰	THÂI	Khiôshieŋ‐XIV THÂI
127	卦	去聲十五卦	KRUÊ	Khiôshieŋ‐XV KRUÊ
128	怪	去聲十六怪	KRUÊI	Khiôshieŋ‐XVI KRUÊI
129	夬	去聲十七夬	KRUÂI	Khiôshieŋ‐XVII KRUÂI
130	隊	去聲十八隊	DÛI	Khiôshieŋ‐XVIII DÛI
131	代	去聲十九代	DƏ̂I	Khiôshieŋ‐XIX DƏ̂I
132	廢	去聲二十廢	PYÂI	Khiôshieŋ‐XX PYÂI
133	震	去聲二十一震	TÎN	Khiôshieŋ‐XXI TÎN
134	稕	去聲二十二稕	TŶN	Khiôshieŋ‐XXII TŶN
135	問	去聲二十三問	MYÛN	Khiôshieŋ‐XXIII MYÛN
136	焮	去聲二十四焮	QHIƏ̂N	Khiôshieŋ‐XXIV QHIƏ̂N
137	願	去聲二十五願	ŊYÂN	Khiôshieŋ‐XXV ŊYÂN
138	慁	去聲二十六慁	XÛN	Khiôshieŋ‐XXVI XÛN
139	恨	去聲二十七恨	XƏ̂N	Khiôshieŋ‐XXVII XƏ̂N
140	翰	去聲二十八翰	XÂN	Khiôshieŋ‐XXVIII XÂN
141	换	去聲二十九换	XUÂN	Khiôshieŋ‐XXIX XUÂN
142	諫	去聲三十諫	KRÂN	Khiôshieŋ‐XXX KRÂN
143	襇	去聲三十一襇	KRÊN	Khiôshieŋ‐XXXI KRÊN
144	霰	去聲三十二霰	SÊN	Khiôshieŋ‐XXXII SÊN
145	線	去聲三十三線	SIÊN	Khiôshieŋ‐XXXIII SIÊN
146	嘯	去聲三十四嘯	SÊU	Khiôshieŋ‐XXXIV SÊU
147	笑	去聲三十五笑	SIÊU	Khiôshieŋ‐XXXV SIÊU
148	效	去聲三十六效	XRÂU	Khiôshieŋ‐XXXVI XRÂU
149	號	去聲三十七號	XÂU	Khiôshieŋ‐XXXVII XÂU
150	個	去聲三十八個	KÂ	Khiôshieŋ‐XXXVIII KÂ
151	過	去聲三十九過	KUÂ	Khiôshieŋ‐XXXIX KUÂ
152	禡	去聲四十禡	MRÂ	Khiôshieŋ‐XL MRÂ
153	漾	去聲四十一漾	JIÂŊ	Khiôshieŋ‐XLI JIÂŊ
154	宕	去聲四十二宕	DÂŊ	Khiôshieŋ‐XLII DÂŊ
155	敬	去聲四十三映	KRIÊŊ	Khiôshieŋ‐XLIII KRIÊŊ
156	諍	去聲四十四諍	CRÊŊ	Khiôshieŋ‐XLIV CRÊŊ
157	勁	去聲四十五勁	KIÊŊ	Khiôshieŋ‐XLV KIÊŊ
158	徑	去聲四十六徑	KÊŊ	Khiôshieŋ‐XLVI KÊŊ
159	證	去聲四十七證	TIƏ̂Ŋ	Khiôshieŋ‐XLVII TIƏ̂Ŋ
160	嶝	去聲四十八嶝	TƏ̂Ŋ	Khiôshieŋ‐XLVIII TƏ̂Ŋ
161	宥	去聲四十九宥	XYÛ	Khiôshieŋ‐XLIX XYÛ
162	候	去聲五十候	XÛ	Khiôshieŋ‐L XÛ
163	幼	去聲五十一幼	QÎU	Khiôshieŋ‐LI QÎU
164	沁	去聲五十二沁	CHÎM	Khiôshieŋ‐LII CHÎM
165	勘	去聲五十三勘	KHƏ̂M	Khiôshieŋ‐LIII KHƏ̂M
166	闞	去聲五十四闞	KHÂM	Khiôshieŋ‐LIV KHÂM
167	艷	去聲五十五艷	JIÊM	Khiôshieŋ‐LV JIÊM
168	㮇	去聲五十六㮇	THÊM	Khiôshieŋ‐LVI THÊM
169	陷	去聲五十八陷	XRÊM	Khiôshieŋ‐LVII XRÊM
170	鑑	去聲五十九鑑	KRÂM	Khiôshieŋ‐LVIII KRÂM
171	釅	去聲五十七釅	ŊIÂM	Khiôshieŋ‐LIX ŊIÂM
172	梵	去聲六十梵	BYÂM	Khiôshieŋ‐LX BYÂM
173	屋	入聲一屋	QUK	Nipshieŋ‐I QUK
174	沃	入聲二沃	QOK	Nipshieŋ‐II QOK
175	燭	入聲三燭	TYOK	Nipshieŋ‐III TYOK
176	覺	入聲四覺	KROK	Nipshieŋ‐IV KROK
177	質	入聲五質	TIT	Nipshieŋ‐V TIT
178	術	入聲六術	ZHYT	Nipshieŋ‐VI ZHYT
179	櫛	入聲七櫛	CRIT	Nipshieŋ‐VII CRIT
180	物	入聲八物	MYUT	Nipshieŋ‐VIII MYUT
181	迄	入聲九迄	QHIƏT	Nipshieŋ‐IX QHIƏT
182	月	入聲十月	ŊYAT	Nipshieŋ‐X ŊYAT
183	没	入聲十一没	MUT	Nipshieŋ‐XI MUT
184	曷	入聲十二曷	XAT	Nipshieŋ‐XII XAT
185	末	入聲十三末	MAT	Nipshieŋ‐XIII MAT
186	黠	入聲十四黠	XRET	Nipshieŋ‐XIV XRET
187	鎋	入聲十五鎋	XRAT	Nipshieŋ‐XV XRAT
188	屑	入聲十六屑	SET	Nipshieŋ‐XVI SET
189	薛	入聲十七薛	SIET	Nipshieŋ‐XVII SIET
190	藥	入聲十八藥	JIAK	Nipshieŋ‐XVIII JIAK
191	鐸	入聲十九鐸	DAK	Nipshieŋ‐XIX DAK
192	陌	入聲二十陌	MRAK	Nipshieŋ‐XX MRAK
193	麥	入聲二十一麥	MREK	Nipshieŋ‐XXI MREK
194	昔	入聲二十二昔	SIEK	Nipshieŋ‐XXII SIEK
195	錫	入聲二十三錫	SEK	Nipshieŋ‐XXIII SEK
196	職	入聲二十四職	TIƏK	Nipshieŋ‐XXIV TIƏK
197	德	入聲二十五德	TƏK	Nipshieŋ‐XXV TƏK
198	緝	入聲二十六緝	CHIP	Nipshieŋ‐XXVI CHIP
199	合	入聲二十七合	XƏP	Nipshieŋ‐XXVII XƏP
200	盍	入聲二十八盍	XAP	Nipshieŋ‐XXVIII XAP
201	葉	入聲二十九葉	JIEP	Nipshieŋ‐XXIX JIEP
202	怗	入聲三十怗	THEP	Nipshieŋ‐XXX THEP
203	洽	入聲三十一洽	XREP	Nipshieŋ‐XXXI XREP
204	狎	入聲三十二狎	XRAP	Nipshieŋ‐XXXII XRAP
205	業	入聲三十三業	ŊIAP	Nipshieŋ‐XXXIII ŊIAP
206	乏	入聲三十四乏	BYAP	Nipshieŋ‐XXXIV BYAP
