pieutiwbyo	dziwbyo	dziwbyoNguaidziw	zyepheng	zyephengNguaidziw	diangkoXrynbu	ZNgShiwxryn	ZNgShiwxrynPotyo	qrimtyo	ngrietyo	thongqitmra
0420E-jiep4	䈎		jiep	jiep4	葉				thriepと异義不明。《名義》：“䈎，餘涉反，籥也，最也。”《王韵》無訓，《廣韵》：“䈎，篇簿書䈎，《説文》：‘籥也。’”《説文》注：“小兒所書寫。每一笘謂之‘一䈎’，今書一紙謂之‘一頁’。”	U+420E
0420E-thriep4	䈎		thriep	thriep4	葉				jiepと异義不明。《廣雅·釋器》：“……䈎……䉉也。”音：“䈎，敕葉〔反〕，又餘涉〔反〕（jiep）。”《王韵》：“䈎，籥。”	U+420E
042B7-criw1	䊷		criə	criw1	之					U+42B7
042CE-dren3	䋎		drên	dren3	元					U+42CE
04343-jyu1	䍃		jyu	jyu1	？					U+4343
04516-liwng1	䔖		liəŋ	liwng1	蒸					U+4516
045B5-kun1	䖵		kun	kun1	文					U+45B5
0470B-xui2	䜋		xúi	xui2	微				不明。《廣韵》：“䜋，列也，《玉篇》云：‘譯也。’《説文》胡對切（xûi）：‘中止也。’”	U+470B
0470B-xui3	䜋		xûi	xui3	物				①動詞【とまる】。《玉篇》：“䜋，胡退反，《説文》‘中止也，《司馬法》曰：“師多則民䜋之。”䜋，止’，是也，《蒼頡篇》：‘䜋，譯也。’《聲類》：‘相欺也。’”《文選》左思《魏都賦》：“齊被練而銛戈，襲偏裻以䜋列。”五臣注：“䜋，〔音〕會（xuâi〜–）。”張載注引司馬法：“師多則䜋。”李善注：“《説文》曰：‘䜋列，中止也。’然䜋列，或止或列。”《王二》胡對反：“䜋，中止。”《廣韵》：“䜋，覺悟，《説文》曰：‘中止也，《司馬法》曰：“師多則民䜋。”䜋，止也。’”②不明。《廣雅》：“䜋䜂，啁欺也。”音：“䜋，〔音〕潰。”《王韵》：“䜋，相欺。”	U+470B
04819-bang1	䠙		baŋ	bang1	陽					U+4819
048B5-xyun1	䢵		xyun	xyun1	文					U+48B5
048BC-kyong1	䢼		kyoŋ	kyong1	東					U+48BC
04964-brok4	䥤		brok	brok4	覺					U+4964
04AA1-cei1	䪡		cei	cei1	脂					U+4AA1
04BCE-kan3	䯎		kân	kan3	元					U+4BCE
04C94-giang1	䲔		giaŋ	giang1	陽				grieŋの變種。《切韵》：“䲔，鯨魚别名。”	U+4C94
04C94-grieng1	䲔		grieŋ	grieng1	陽				giaŋの變種。《漢書·翟義傳》：“蓋聞古者伐不敬，取其䲔鯢築武軍。”注：“此《左傳》載楚莊王之辭也。䲔鯢，大魚爲害者也，以此比敵人之勇桀者。……䲔，古‘鯨’字，音其京反。”《左傳·宣公十二年》注：“鯨鯢，大魚名，以喻不義之人吞食小國。”音義：“鯨，其京反，大魚名。”《玄應音義》卷第十九《佛本行集經》第二十六卷“鯨鷁”音義：“又作‘䲔’，同，渠京反，許叔重注《淮南子》云：‘鯨，魚之王。’《异物志》云：‘鯨魚數里，或死沙中，云得之者皆無目，俗云其目化爲明月珠也。’鯢，鯨之雌者也，《左傳》：鯨鯢，大魚也。”《名義》：“鯨，渠生反。魚〔之〕主（王）。䲔，鯨字。”《王韵》：“鯨，大魚雄曰‘鯨’，雌曰‘鯢’，亦作‘䲔’。”	U+4C94
04D52-nrit4	䵒		nrit	nrit4	質					U+4D52
04E00-qit4	一		qit	qit4	質	質				U+4E00
04E01-teng1	丁		teŋ	teng1	耕	青				U+4E01
04E01-treng1	丁		treŋ	treng1	耕					U+4E01
04E03-chit4	七		chit	chit4	質	質				U+4E03
04E07-mwk4	万		mək	mwk4	職					U+4E07
04E07-myan3	万		myân	myan3	元					U+4E07
04E08-driang2	丈		driáŋ	driang2	陽	養				U+4E08
04E09-sam1	三		sam	sam1	談	覃	數名			U+4E09
04E09-sam3	三		sâm	sam3	談	勘	再三			U+4E09
04E0A-diang2	上		diáŋ	diang2	陽	養	升也			U+4E0A
04E0A-diang3	上		diâŋ	diang3	陽	漾	上下			U+4E0A
04E0B-xra2	下		xrá	xra2	魚	馬	上下		義略。また，自動詞【くだる】。《史記·項羽紀》：“項梁……聞陳嬰已下東陽。”索隱：“下，音如字。按，以兵威伏之曰‘下’，胡嫁反（xrâ）；彼自歸伏曰‘下’，如字讀。他皆放此。”	U+4E0B
04E0B-xra3	下		xrâ	xra3	魚	禡	降也		①使動詞【くだす】。《史記·項羽紀》：“廣陵人召平……徇廣陵，未能下。”正義：“下，胡嫁反。以兵威服之曰‘下’。”②動詞【みづからをくだす，へりくだる】。《易·謙》：“無不利，撝謙。”注：“處三之上，而用謙焉，則是自上下下之義也。承五而用謙順，則是上行之道也。盡乎奉上下下之道，故無不利。”音義：“下下，上遐嫁反，下如字，下句同。”。	U+4E0B
04E0E-jio2	与		jió	jio2	魚					U+4E0E
04E0F-men2	丏		mén	men2	元					U+4E0F
04E11-thryu2	丑		thryú	thryu2	幽	有				U+4E11
04E16-shiei3	世		shiêi	shiei3	月	霽				U+4E16
04E18-khyu1	丘		khyu	khyu1	之	尤				U+4E18
04E26-bang3	並		bâŋ	bang3	陽					U+4E26
04E26-beng2	並		béŋ	beng2	耕	迥			義略。訓讀｛併｝。《禮·曲禮上》：“室中不翔，並坐不横肱。”音義：“並，如字，又步頂反（béŋ）。”即云“如字”者非béŋ 。	U+4E26
04E26-brang2	並		bráŋ	brang2	陽			見音義欄。	béŋの本讀音。《左傳·襄公三十年》注：“並畔爲疇。”音義：“並，薄杏反，又薄頂反（béŋ）。”《詩·召南·江有汜》箋：“興者，喻江水大，汜水小，然而並流，似嫡媵宜俱行。”音義：“並，白猛反，又步頂反（béŋ）。”《名義》：“並，蒲鯁反，併也，俱也。”又“穬（kruáŋ）”字條：“古並反。”	U+4E26
04E28-kun2	丨		kún	kun2	文					U+4E28
04E29-kyu1	丩		kyu	kyu1	幽					U+4E29
04E2A-ka3	个		kâ	ka3	歌					U+4E2A
04E2A-kan3	个		kân	kan3	元				名詞，シューティングターゲットの一部分。《周禮·考工記·梓人》：“梓人爲侯，……上兩个，與其身三；下兩个，半之。”注：“鄭司農云：‘兩个，謂布可以維持侯者也。……’玄謂：个，讀若‘齊人搚幹’之幹。上个、下个，皆謂舌也。”音義：“个，讀爲‘幹’，古旦反，下及注同，李云大（先）鄭依字。”	U+4E2A
04E2B-qra1	丫		qra	qra1	魚	麻				U+4E2B
04E2D-dryung3	中		dryûŋ	dryung3	冬				①｛仲｝。名詞｛中春｝、｛中吕｝等の詞音。《周禮·春官·籥章》：“中春，晝擊土鼓，龡《豳》詩以逆暑。”音義：“中，音仲。”疏：“中春，二月也。”《禮·月令》：“律中中吕。”音義：“中，音仲，又如字。”《史記·秦始皇紀·始皇二十九年》：“時在中春，陽和方起。”正義：“中，音仲。古者帝王巡狩，常以中月。”《漢書·元帝紀·永光三年》：“乃者己丑地動，中冬雨水，大霧，盗賊並起。”注：“中，讀曰‘仲’。”《律曆志》：“吕以旅陽宣氣，……六曰中吕。”注：“中，讀曰‘仲’。”《王莽傳上》：“女自視孰與長孫、中孫？”注：“長孫、中孫，〔王〕莽子宇及獲字也。……中，讀曰‘仲’。”《郊祀志》：“五月嘗駒，及四中之月月祠。”注：“中，讀曰‘仲’，謂四時之仲月皆祠之。”《史記·封禪書》作“四仲之月”。②山名｛中山（–sren）｝=｛仲山｝の詞音。在金陝西涇陽縣。《漢書·溝洫志》：“乃使水工鄭國間説秦，令鑿涇水，自中山西邸瓠口爲渠。”注：“中，讀曰‘仲’，即今九嵕之東仲山也。”なほ，《史記·趙世家》“中山”、《漢書·地理志下》“中山國”，注皆不注音，即音tryuŋsren。	U+4E2D
04E2D-tryung1	中		tryuŋ	tryung1	冬	東	中間			U+4E2D
04E2D-tryung3	中		tryûŋ	tryung3	冬	送	射中，擊中		義略。また，名詞【どまんなか】，動詞【どまんなかにある】……らしいがtryuŋやdryûŋとの違ひがよくわからない。とりあへず分かりやすみのある例文を少しだけ載せておく。《書·禹貢》：“厥土惟白壤，厥賦惟上上錯，厥田惟中中。”僞孔傳：“田之高下肥瘠，九州之中爲第五。”音義：“〔上〕中，丁仲反，又如字。〔下〕中，馬云：‘土地有高下。’”《堯典》：“日中，星鳥，以殷仲春。”僞孔傳：“日中，謂春分之日。”音義：“中，貞仲反，又如字。”仲春，《史記·五帝紀》作“中春”，正義：“下中，音仲，夏、秋、冬並同。”《易·説卦》：“震……謂之長男，……坎……謂之中男，離……謂之中女，……兑……謂之少女。”音義：“中男，〔上〕丁仲反，下同。”《詩·大雅·大明》“摯仲氏任”傳：“摯國任姓之中女也。”音義：“中，丁仲反。下同。”《周禮·春官·天府》：“凡官府鄉州及都鄙之治中，受而藏之。”注引鄭司農：“治中，謂其治職簿書之要。”音義：“中，丁仲反，下〔及〕注同。”《典瑞》注引鄭司農：“以求地中，故謂之土圭。”音義：“中，如字，劉丁仲反。”《儀禮·鄉射禮》：“不繫左下綱，中掩束之。”音義：“中，劉丁仲反。”《聘禮》：“士中日則二雙。”注：“中，猶間也。”音義：“中，丁仲反，注同。”《既夕禮》：“設握，裏親膚，繫鈎中指，結于掔。”音義：“中，如字，劉丁仲反。”《士虞禮》：“中月而禫。”注：“中，猶間也。”音義：“中，劉丁仲反，注同。”《禮·月令》：“孟春之月，日在營室，昏參中，旦尾中。”音義：“中，如字，徐丁仲反，後放此。”《學記》：“比年入學，中年考校。”注：“中，猶間也。”音義：“中，徐丁仲反。注同。”《左傳·莊公七年》：“夜中，星隕如雨。”音義：“夜中，夜半也，〔下〕丁仲反，又如字。”《僖公十五年·經》注：“來寧不書，此書者，以明中絶。”音義：“中，丁仲反，又如字。”《宣公二年》注：“〔趙〕括，趙盾异母弟趙姬之中子屏季也。”音義：“中，如字，又丁仲反。”《襄公十四年》“我先君惠公有不腆之田，與女剖分而食之”注：“中分爲剖。”音義：“中，丁仲反，又如字。”《襄公二十五年》注：“坎爲中男。”音義：“中，丁仲反。”《後序》：“大甲……命復其父之田宅而中分之。”音義：“中分，並如字，〔下〕又丁仲反。”《穀梁傳·桓公九年》“爲之中者，歸之也。”注：“中，謂關與婚事。”音義：“中，丁仲反，又如字，注同。”《爾雅·序》：“《爾雅》者，蓋興於中古，隆於漢氏。”音義：“中，丁仲反，又如字，中古謂周公也。”《釋言》：“殷，齊，中也。”注引《書》：“以殷仲春。”音義：“中，如字，又音仲（dryûŋ），又知衆反。”疏：“殷、齊，皆謂正中也。”《漢書·田儋傳》：“越時居梁地，中立，且爲楚，且爲漢。”注：“言在楚、漢之間，居中自立而兩助之也。中，音竹仲反。”《樊噲傳》：“項羽既饗軍土，中酒。”注：“飲酒之中也。不醉不醒，故謂之中。中，音竹仲反。”《婁敬傳》：“成王即位，周公之屬傅相焉，乃營成周都雒，以爲此天下中。”注：“中，音竹仲反。”《鄭吉傳》：“〔鄭〕吉於是中西域而立莫府。”注：“中西域者，言最處諸國之中，遠近均也。中，音竹仲反。”《貨殖傳》：“雒陽街居在齊、秦、楚、趙之中，富家相矜以久賈。”注：“言雒陽之地居在諸國之中，要衝之所，若大街衢。……中，音，竹仲反。”《匈奴傳下》：“匈奴本與漢爲兄弟，匈奴中亂。”注：“〔中〕言中間之時也，讀如本字，又音竹仲反。”《匈奴傳下》又：“故先王度土，中立封畿，分九州。”注：“中，音竹仲反。”《司馬相如傳上·上林賦》：“於是酒中樂酣。”注：“酒中，飲酒中半也。……中，音竹仲反。”《文選》郭璞注：“中，半也，丁仲切（原作‘中仲切’）。”名詞｛中道（–dáu）｝の詞音。《穀梁傳·僖公二十六年》注：“楚人出師爲魯伐齊，而中道以伐宋。”音義：“中，如字，又丁仲反。”《襄公二十三年》注：“〔叔孫〕豹本受君命救晋，中道不能。”音義：“中，丁仲反，又如字。”《論語·雍也》：“力不足者，中道而廢。”音義：“中，如字，一音丁仲反。”《子罕》注引包〔咸〕：“爲山者，其功雖已多，未成一籠而中道止者，我不以其前功多而善之。”音義：“中，丁仲反，又如字。”動詞｛中興（–qhiəŋ）｝の詞音。《詩·大雅·烝民·序》：“任賢使能，周室中興焉。”音義：“中，張仲反。”疏：“周室既衰，中道復興。”《左傳·序》：“若平王能祈天永命，紹開中興。”音義：“中，丁仲反。”《哀公十四年·經》注：“故因魯《春秋》而修中興之教。”音義：“中，丁仲反。”《論語·憲問》注引孔〔安國〕：“高宗，殷之中興王武丁也。”音義：“中興，丁仲反。”動詞｛折中（tiet–）｝=｛折衷｝の詞音。《公羊傳·桓公八年》注：“四者，四時祭也，疏數之節靡所折中。”音義：“折中……下丁仲反。”《漢書·貢禹傳》：“四海之内，天下之君，微孔子之言亡所折中。”注：“非孔子之言無以爲中也。〔中〕音竹仲反。”	U+4E2D
04E31-kruan3	丱		kruân	kruan3	元	諫				U+4E31
04E32-kruan3	串		kruân	kruan3	元	諫				U+4E32
04E32-thyen3	串		thyên	thyen3	元			《字彙》：“串，樞絹切，音釧，穿也，貫也。”		U+4E32
04E38-xuan1	丸		xuan	xuan1	元	寒				U+4E38
04E39-tan1	丹		tan	tan1	元	寒				U+4E39
04E3B-tyo2	主		tyó	tyo2	侯	麌				U+4E3B
04E3C-cieng2	丼		ciéŋ	cieng2	耕					U+4E3C
04E3C-twm2	丼		tə́m	twm2	侵					U+4E3C
04E42-ngiai3	乂		ŋiâi	ngiai3	月	隊				U+4E42
04E45-kyu2	久		kyú	kyu2	之	有				U+4E45
04E4B-tiw1	之		tiə	tiw1	之	支				U+4E4B
04E4E-qho1	乎		qho	qho1	魚	虞			嘆詞｛於乎（qo–）｝=｛嗚呼｝の詞音。《詩·大雅·抑》：“於乎小子，未知臧否。”音義：“於乎……下音呼，凡此二字相連音皆於此。”	U+4E4E
04E4E-xo1	乎		xo	xo1	魚	虞				U+4E4E
04E56-kruei1	乖		kruei	kruei1	微	佳				U+4E56
04E58-zhiwng1	乘		zhiəŋ	zhiwng1	蒸	蒸	駕乘，動詞			U+4E58
04E58-zhiwng3	乘		zhiə̂ŋ	zhiwng3	蒸	徑	車乘，名詞			U+4E58
04E59-qrit4	乙		qrit	qrit4	質	質				U+4E59
04E5D-kyu1	九		kyu	kyu1	幽					U+4E5D
04E5D-kyu2	九		kyú	kyu2	幽	有				U+4E5D
04E5E-khiwi3	乞		khiə̂i	khiwi3	物					U+4E5E
04E5E-khiwt4	乞		khiət	khiwt4	物	物				U+4E5E
04E69-kei1	乩		kei	kei1	？					U+4E69
04E79-grien1	乹		grien	grien1	元					U+4E79
04E7E-grien1	乾		grien	grien1	元	先	乾坤			U+4E7E
04E7E-kan1	乾		kan	kan1	元	寒	乾濕			U+4E7E
04E85-gyat4	亅		gyat	gyat4	月					U+4E85
04E86-leu2	了		léu	leu2	宵	篠				U+4E86
04E88-jio1	予		jio	jio1	魚	魚	我也			U+4E88
04E88-jio2	予		jió	jio2	魚	語	賜予			U+4E88
04E89-creng1	争		creŋ	creng1	耕	庚				U+4E89
04E89-creng3	争		crêŋ	creng3	耕					U+4E89
04E8C-ni3	二		nî	ni3	脂	寘				U+4E8C
04E8E-qhyo1	于		qhyo	qhyo1	魚	虞		見音義欄。	｛于嗟（–cia）｝の詞音。《詩·衛風·氓》：“于嗟女兮，無與士耽。”《韓詩外傳》卷二引《詩》作：“吁嗟”。《禮·祭法》注：“雩之言吁嗟也。”音義：“吁，許于反。”見多作“于嗟”例，皆無音注，蓋實音xyocia，有一義二音。	U+4E8E
04E8E-qyo1	于		qyo	qyo1	魚	虞			｛迂｝。《禮·文王世子》：“爲人臣者，殺其身有益於君則爲之，况于其身以善其君乎？”注：“于，讀爲‘迂’。迂，猶廣也，大也。”音義：“于，依注作‘迂’，音同，又音紆，大也。”	U+4E8E
04E8E-xyo1	于		xyo	xyo1	魚	虞				U+4E8E
04E91-xyun1	云		xyun	xyun1	文	文				U+4E91
04E93-giw1	亓		giə	giw1	之					U+4E93
04E94-ngo2	五		ŋó	ngo2	魚	麌				U+4E94
04E95-cieng2	井		ciéŋ	cieng2	耕	梗				U+4E95
04EA1-myang1	亡		myaŋ	myang1	陽	陽				U+4EA1
04EA1-myo1	亡		myo	myo1	魚					U+4EA1
04EA4-krau1	交		krau	krau1	宵	肴				U+4EA4
04EA5-xwi2	亥		xə́i	xwi2	之	賄				U+4EA5
04EA6-jiek4	亦		jiek	jiek4	鐸	陌				U+4EA6
04EA8-phrang1	亨		phraŋ	phrang1	陽	庚				U+4EA8
04EA8-qhiang2	亨		qhiáŋ	qhiang2	陽					U+4EA8
04EA8-qhrang1	亨		qhraŋ	qhrang1	陽	庚				U+4EA8
04EAB-qhiang2	享		qhiáŋ	qhiang2	陽	養				U+4EAB
04EAC-krieng1	京		krieŋ	krieng1	陽	庚				U+4EAC
04EAD-deng1	亭		deŋ	deng1	耕	青				U+4EAD
04EAE-liang1	亮		liaŋ	liang1	陽				名詞｛亮陰（–qəm）｝=｛諒闇｝=｛凉陰｝=｛梁闇｝の詞音。あるいは動詞，讀下。《辭源》“亮陰”、“梁闇”皆爲音liaŋqəm，“諒闇”、“凉陰”爲音liâŋqəm。《漢辭海》未收“梁闇”，除之同。《書·説命上》：“王宅憂，亮陰三祀。”音義：“亮，本又作‘諒’，如字，又力章反。”《禮·喪服四制》引《書〔·無逸〕》：“高宗諒闇，三年不言。”注：“諒，古作‘梁’。楣，謂之梁。……闇，謂廬也。廬有梁者，所謂柱楣也。”音義：“諒闇，依注諒讀爲‘梁’，……徐又並如字。案：……孔安國讀爲‘諒陰’，諒，信也。”《尚書大傳·毋逸》經作“梁闇”，傳：“高宗居倚廬，……此之謂梁闇。”《漢書·五行志中之下》：“劉向以爲殷道既衰，高宗承敝而起，盡凉陰之哀，天下應之。”注：“凉，信也。……言居哀信默，三年不言也。凉，讀曰諒（liâŋ）。一説，凉陰謂居喪之廬也。謂三年處於廬中不言。凉，音力羊反。”按《漢書》注，蓋釋名詞者爲音liaŋqəm，釋動詞者爲音liâŋqəm。待考。	U+4EAE
04EAE-liang3	亮		liâŋ	liang3	陽	漾				U+4EAE
04EB6-dan2	亶		dán	dan2	元					U+4EB6
04EB6-dien1	亶		dien	dien1	元				山名｛亶爰（–xyan）｝の詞音。《山海經·南山經》：“亶爰之山，多水，無草木，不可以上。”注：“亶，音蟬。”	U+4EB6
04EB6-tan2	亶		tán	tan2	元					U+4EB6
04EBA-nin1	人		nin	nin1	真	真				U+4EBA
04EC0-dip4	什		dip	dip4	緝	緝			義略。ちなみに現代漢語｛什麽｝，自中古疑問詞｛是物（diémyut）｝來者。若爲｛什麽｝=｛是物｝而隋音diémyut，是即“什麽”二字連音而不能分“什”與“麽”二字音，遂不記之於本條。	U+4EC0
04EC1-nin1	仁		nin	nin1	真	真				U+4EC1
04EC3-teng1	仃		teŋ	teng1	耕	青				U+4EC3
04EC4-criwk4	仄		criək	criwk4	職	職				U+4EC4
04EC7-gyu1	仇		gyu	gyu1	幽	尤				U+4EC7
04ECA-krim1	今		krim	krim1	侵	侵				U+4ECA
04ECB-krei3	介		krêi	krei3	月	卦				U+4ECB
04ED4-ciw1	仔		ciə	ciw1	之				名詞｛仔肩（–ken）｝の詞音。《漢辭海》云“もちこたへる”。《詩·周頌·敬之》：“佛時仔肩，示我顯德行。”毛亨傳：“仔肩，克也。”鄭玄箋：“仔肩，任也。”音義：“仔，音兹（ciə），毛〔亨〕云：‘仔肩，克也。’此二字共訓；鄭〔玄〕亦同，訓此二字云：‘仔肩，任也。”	U+4ED4
04ED4-ciw2	仔		ciə́	ciw2	之					U+4ED4
04ED4-cwi2	仔		cə́i	cwi2	之			《新華字典》現代音zǎi條：“同‘崽’。”《名義》：“崽，子改反，子也，者多支相呼也。”		U+4ED4
04ED7-driang2	仗		driáŋ	driang2	陽	養	漾韵同		不明。《王韵》：“仗，馮。”按：動詞【たよる】？《史記·春申君傳》：“王若負人徒之衆，仗兵革之强，……臣恐其有後患也。”三家注皆不注音。	U+4ED7
04ED7-driang3	仗		driâŋ	driang3	陽	漾	養韵同		義略。《玄應音義》卷第二十二《瑜伽師地論》第十一卷音義：“器仗……下治亮反，……仗，兵器也，五刃總名，兵人所執持曰‘仗’。”《名義》：“仗，直亮反，刀戟總名也，持也。”	U+4ED7
04ED9-sien1	仙		sien	sien1	元	先				U+4ED9
04EDD-dung1	仝		duŋ	dung1	東					U+4EDD
04EDF-chen1	仟		chen	chen1	真					U+4EDF
04EE1-kiwt4	仡		kiət	kiwt4	物			《漢辭海》音C。無音證，見音義欄。	民族名｛仡佬（–láu）｝=｛犵獠｝の詞音。《大詞典》“犵獠”詞條：“即仡佬族。《元和郡縣志·江南道六·洛浦》：‘縣東西各有石城一，甚險固，犵獠反亂，居人皆保其土。’”音者盧伽所按，見“犵”字條。	U+4EE1
04EE1-ngiwt4	仡		ŋiət	ngiwt4	物				qhiətと异義不明。《詩·大雅·皇矣》：“臨衝茀茀，崇墉仡仡。”傳：“仡仡，猶言言也。”音義：“仡仡，魚乙反（ŋrit〜–），《韓詩》云：‘摇也。’《説文》作‘圪’。”《公羊傳·宣公六年》：“祁彌明者，國之力士也，仡然從乎趙盾而入。”注：“仡然，壯勇貌。”音義：“仡，魚乙反。”《漢書·李尋傳》：“昔秦穆公説諓諓之言，任仡仡之勇，身受大辱，社稷幾亡。”注：“仡仡，壯健也。……仡，音巨乙反（grit〜giət），又音牛乞反。”《揚雄傳·甘泉賦》：“金人仡仡其承鍾虡兮，嵌岩岩其龍鱗。”注：“仡仡，勇健狀。……仡，音魚乙反，又音其乞反（giət）。”《文選》注：“孔安國《尚書傳》曰：‘仡仡，壯勇之貌也。’……仡，魚乞切。”《廣雅·釋訓》：“……仡仡……武也。”音：“仡，魚乙〔反〕。”《名義》：“仡，語訖反，勇也。”《廣韵》：“仡，壯勇貌。”	U+4EE1
04EE1-ngwt4	仡		ŋət	ngwt4	物				按：形容詞【ゆれてゐる】。《方言》第九：“僞，謂之‘仡’。仡，不安也。”注：“仡，吾勃反。偽……船動摇之貌也。”《漢辭海》云“頭を高くもちあげる”，《漢書·司馬相如傳下·大人賦》：“沛艾赳螑仡以佁擬兮。”注引張揖：“仡，舉頭也。”又：“仡，音魚乞反（ŋiət）。”	U+4EE1
04EE1-qhiwt4	仡		qhiət	qhiwt4	物				ŋiətと异義不明。《書·秦誓》：“仡仡勇夫，射御不違。”傳：“仡仡，壯勇之夫。”音義：“仡仡，許訖反，又魚乞反（ŋiət），馬本作‘訖’，訖，無所省録之貌，徐云：‘强狀。’”《晋書·左貴嬪傳·武元楊皇后誄》：“方相仡仡，旌旐翻翻。”音義：“仡，許訖反。”《夏侯湛傳·抵疑》：“方將保重嗇神，獨善其身，玄白沖虚，仡爾養真。”音義：“仡，許乞反。”《切韵》：“仡，壯貌。”	U+4EE1
04EE5-jiw2	以		jiə́	jiw2	之	紙				U+4EE5
04EF2-dryung3	仲		dryûŋ	dryung3	冬	送				U+4EF2
04EF5-ngo2	仵		ŋó	ngo2	魚					U+4EF5
04EF6-grien2	件		grién	grien2	元	銑				U+4EF6
04EF7-krei3	价		krêi	krei3	月					U+4EF7
