pieutiwbyo	dziwbyo	dziwbyoNguaidziw	zyepheng	zyephengNguaidziw	ChXZiosryoSishieng	ChXZiosryoXrynmyuk	ChXZiosryoSieuxryn	ChXDzankryenlyi	ChXDzankryen	ChXPyanchet	ChXPyanchetPotyo	XXPyanchet	XXPyanchetPotyo	KXPyanchet	KXPyanchetPotyo	DzXPyanchet	DzXPyanchetPotyo	QhZQhShienglyi	QhZQhXrynlyi	QhZQhDeuyi	thongqitmra
0395C-xyui3	㥜		xyûi	xyui3	3	8	3	0	"[""藤田2018""]"	云貴反		云貴反		于貴切				null	null	null	U+395C
039C6-kiwn3	㧆		kiə̂n	kiwn3	3	23	2	1	"[""TIVK75-100a""]"	null		null		居焮切				null	null	null	U+39C6
039C6-krin3	㧆		krîn	krin3	3	21	null	0	"[""藤田2018""]"	null		null		null		居覲切		null	null	null	U+39C6
03B0A-xuan2	㬊		xuán	xuan2	2	22	2	2	"[""切三""]"	null		胡管反		胡管切				null	null	null	U+3B0A
03B87-them3	㮇		thêm	them3	3	51	1	2	"[""P3694r""]"	他念反		他念反		他念切				透	㮇	去	U+3B87
03C8B-thriak4	㲋		thriak	thriak4	4	27	13	0	"[""藤田2018""]"	丑略反		丑略反		丑略切				null	null	null	U+3C8B
03D67-kat4	㵧		kat	kat4	4	11	27	2	"[""切三""]"	null		null		古達切				null	null	null	U+3D67
03D85-xrok4	㶅		xrok	xrok4	4	4	17	2	"[""切三""]"	null		null		null		轄覺切		null	null	null	U+3D85
03D94-brei3	㶔		brêi	brei3	3	16	14	3	"[""P3696(1)v""]"	null		null		蒲拜切				null	null	null	U+3D94
03E60-dun1	㹠		dun	dun1	1	22	10	2	"[""切三""]"	null		null		徒渾切				定	魂	平	U+3E60
03FDF-keu1	㿟		kéu	keu1	1	27	2	2	"[""切三""]"	古了反		古了反		古了切				null	null	null	U+3FDF
040D5-lrok4	䃕		lrok	lrok4	4	4	16	2	"[""切三""]"	null		null		吕角切				null	null	null	U+40D5
041DF-gian1	䇟		gian	gian1	1	21	null	2	"[""切三""]"	null		null		null		null		null	null	null	U+41DF
041DF-gian3	䇟		giân	gian3	3	24	11	2	"[""S5980""]"	null		null		null		渠建切		null	null	null	U+41DF
041DF-kian1	䇟		kian	kian1	1	21	10	2	"[""切三""]"	null		null		null		居言切		null	null	null	U+41DF
0420E-jiep4	䈎		jiep	jiep4	4	24	1	2	"[""切三""]"	null		与涉反		與涉切				以	葉	入	U+420E
0420E-thriep4	䈎		thriep	thriep4	4	24	14	2	"[""切三""]"	null		丑輒反		丑輒切				null	null	null	U+420E
042B7-criw1	䊷		criə	criw1	1	7	14	2	"[""切三""]"	null		側持反		側持切				null	null	null	U+42B7
042CE-dren3	䋎		drên	dren3	3	29	8	0	"[""藤田2018""]"	null		大莧反		丈莧切				null	null	null	U+42CE
04343-jyu1	䍃		jyu	jyu1	1	43	5	2	"[""切三""]"	null		以周反		以周切				以	尤	平	U+4343
04516-liwng1	䔖		liəŋ	liwng1	1	49	4	2	"[""切三""]"	力膺反		六應反		力膺切				null	null	null	U+4516
045B5-kun1	䖵		kun	kun1	1	22	2	2	"[""切三""]"	null		古渾反		古渾切				null	null	null	U+45B5
0470B-xui2	䜋		xúi	xui2	2	14	8	2	"[""切三""]"	null		null		胡罪切				null	null	null	U+470B
0470B-xui3	䜋		xûi	xui3	3	18	12	0	"[""藤田2018""]"	null		胡對反		胡對切				null	null	null	U+470B
04819-bang1	䠙		baŋ	bang1	1	38	20	2	"[""切三""]"	步光反		步光反		步光切				null	null	null	U+4819
048B5-xyun1	䢵		xyun	xyun1	1	19	2	2	"[""切三""]"	null		王分反		王分切				云	文	平	U+48B5
048BC-kyong1	䢼		kyoŋ	kyong1	1	2	5	3	"[""切二""]"	null		null		九容切				null	null	null	U+48BC
04964-brok4	䥤		brok	brok4	4	4	9	2	"[""切三""]"	null		null		null		弼角切		null	null	null	U+4964
04AA1-cei1	䪡		cei	cei1	1	12	17	2	"[""切三""]"	即嵇反		即黎反		祖稽切				精	齊	平	U+4AA1
04BCE-kan3	䯎		kân	kan3	3	27	22	3	"[""S6176r""]"	null		古旦反		null				null	null	null	U+4BCE
04C94-giang1	䲔		giaŋ	giang1	1	37	29	2	"[""切三""]"	巨良反		巨良反		巨良切				null	null	null	U+4C94
04C94-grieng1	䲔		grieŋ	grieng1	1	39	25	2	"[""切三""]"	null		渠京反		渠京切				null	null	null	U+4C94
04D52-nrit4	䵒		nrit	nrit4	4	5	10	2	"[""切三""]"	null		尼質反		尼質切				null	null	null	U+4D52
04E00-qit4	一		qit	qit4	4	5	6	2	"[""切三""]"	憶質反		於逸反		於悉切				影	質	入	U+4E00
04E01-teng1	丁		teŋ	teng1	1	42	5	2	"[""切三""]"	當經反		當經反		當經切				端	青	平	U+4E01
04E01-treng1	丁		treŋ	treng1	1	40	6	2	"[""切三""]"	null		null		中莖切				知	耕	平	U+4E01
04E03-chit4	七		chit	chit4	4	5	7	2	"[""切三""]"	親悉反		親日反		親吉切				清	質	入	U+4E03
04E07-mwk4	万		mək	mwk4	4	30	8	0	"[""藤田2018""]"	null		null		莫北切				明	德	入	U+4E07
04E07-myan3	万		myân	myan3	3	24	5	2	"[""S5980""]"	無販反		無販反		無販切				微	願	去	U+4E07
04E08-driang2	丈		driáŋ	driang2	2	35	15	1	"[""P4917""]"	直兩反		直兩反		直兩切				澄	養	上	U+4E08
04E09-sam1	三		sam	sam1	1	36	4	2	"[""切三"", ""S11383CA""]"	蘇甘反		蘇甘反		蘇甘切				心	談	平	U+4E09
04E09-sam3	三		sâm	sam3	3	39	null	0	"[""藤田2018""]"	null		null		蘇暫切				心	闞	去	U+4E09
04E0A-diang2	上		diáŋ	diang2	2	35	25	2	"[""切三""]"	時掌反		時掌反		時掌切				禪	養	上	U+4E0A
04E0A-diang3	上		diâŋ	diang3	3	40	13	2	"[""S6176v""]"	□□反	《藤田2018》常亮反。	常亮反		時亮切				禪	漾	去	U+4E0A
04E0B-xra2	下		xrá	xra2	2	32	8	2	"[""切三""]"	胡雅反		胡雅反		胡雅切				匣	馬	上	U+4E0B
04E0B-xra3	下		xrâ	xra3	3	37	12	0	"[""藤田2018""]"	null		胡訝反		胡駕切				匣	禡	去	U+4E0B
04E0E-jio2	与		jió	jio2	2	8	4	2	"[""切三""]"	余筥反		余筥反		余吕切				以	語	平	U+4E0E
04E0F-men2	丏		mén	men2	2	25	10	2	"[""切三""]"	null		null		彌殄切				明	銑	上	U+4E0F
04E11-thryu2	丑		thryú	thryu2	2	41	3	3	"[""P3693v""]"	敕久反		敕久反		敕久切				徹	有	上	U+4E11
04E16-shiei3	世		shiêi	shiei3	3	14	27	3	"[""P3696(1)v""]"	舒制反		舒制反		舒制切				書	祭	去	U+4E16
04E18-khyu1	丘		khyu	khyu1	1	43	16	2	"[""切三""]"	去求反		去求反		去鳩切				溪	尤	平	U+4E18
04E26-bang3	並		bâŋ	bang3	3	41	7	0	"[""藤田2018""]"	null		null		null		蒲浪切		並	宕	去	U+4E26
04E26-beng2	並		béŋ	beng2	2	40	18	2	"[""切三""]"	萍□反	《藤田2018》萍迥反。	萍迥反		蒲迥切				並	迥	上	U+4E26
04E26-brang2	並		bráŋ	brang2	2	37	null	2	"[""切三""]"	null		null		null		null		null	null	null	U+4E26
04E28-kun2	丨		kún	kun2	2	20	9	1	"[""切一""]"	null		null		古本切				見	混	上	U+4E28
04E29-kyu1	丩		kyu	kyu1	1	43	18	2	"[""切三""]"	null		居求反		居求切				見	尤	平	U+4E29
04E2A-ka3	个		kâ	ka3	3	36	1	0	"[""藤田2018""]"	null		null		古賀切				見	個	去	U+4E2A
04E2A-kan3	个		kân	kan3	3	27	22	3	"[""S6176r""]"	null		null		null		居案切		null	null	null	U+4E2A
04E2B-qra1	丫		qra	qra1	1	34	16	2	"[""切三""]"	null		null		於加切				影	麻	平	U+4E2B
04E2D-dryung3	中		dryûŋ	dryung3	3	1	12	3	"[""P3696(1)r""]"	null		null		null		直衆切		null	null	null	U+4E2D
04E2D-tryung1	中		tryuŋ	tryung1	1	1	3	3	"[""切二""]"	陟隆反		陟隆反		陟弓切				知	東	平	U+4E2D
04E2D-tryung3	中		tryûŋ	tryung3	3	1	20	3	"[""P3696(1)r""]"	陟仲反		陟仲反		陟仲切				知	送	去	U+4E2D
04E31-kruan3	丱		kruân	kruan3	3	28	8	0	"[""藤田2018""]"	null		古患反	《王一》古患反，《王三》古患反脱字。	古患切				見	諫	去	U+4E31
04E32-kruan3	串		kruân	kruan3	3	28	8	0	"[""藤田2018""]"	null		null		古患切				見	諫	去	U+4E32
04E32-thyen3	串		thyên	thyen3	3	31	9	0	"[""藤田2018""]"	null		null		null		null		昌	線	去	U+4E32
04E38-xuan1	丸		xuan	xuan1	1	24	2	2	"[""切三""]"	胡官反		胡官反		胡官切				匣	桓	平	U+4E38
04E39-tan1	丹		tan	tan1	1	24	15	2	"[""切三""]"	都寒反		都寒反		都寒切				端	寒	平	U+4E39
04E3B-tyo2	主		tyó	tyo2	2	9	12	2	"[""切三""]"	之庾反		之庾反		之庾切				章	麌	上	U+4E3B
04E3C-cieng2	丼		ciéŋ	cieng2	2	39	11	2	"[""切三""]"	null		null		子郢切				精	静	上	U+4E3C
04E3C-twm2	丼		tə́m	twm2	2	33	14	1	"[""P4917""]"	null		null		都感切				端	感	上	U+4E3C
04E42-ngiai3	乂		ŋiâi	ngiai3	3	20	7	3	"[""S6176r""]"	魚肺反		〼〼〼	《王三》魚肺反脱字，《王一》無本。	魚肺切				疑	廢	去	U+4E42
04E45-kyu2	久		kyú	kyu2	2	41	7	3	"[""P3693v""]"	舉有反		舉有反		舉有切				見	有	上	U+4E45
04E4B-tiw1	之		tiə	tiw1	1	7	1	2	"[""P3696(2)""]"	止而反		止而反		止而切				章	之	平	U+4E4B
04E4E-qho1	乎		qho	qho1	1	11	7	1	"[""P3695""]"	null		null		null		荒胡切		null	null	null	U+4E4E
04E4E-xo1	乎		xo	xo1	1	11	3	1	"[""P3695&P3696(p13)""]"	户吴反		户吴反		户吴切				匣	模	平	U+4E4E
04E56-kruei1	乖		kruei	kruei1	1	14	4	2	"[""切三""]"	古懷反		古懷反		古懷切				見	皆	平	U+4E56
04E58-zhiwng1	乘		zhiəŋ	zhiwng1	1	49	9	2	"[""切三""]"	食陵反		食陵反		食陵切				船	蒸	平	U+4E58
04E58-zhiwng3	乘		zhiə̂ŋ	zhiwng3	3	52	3	2	"[""P3694r""]"	實證反		實證反		實證切				船	證	去	U+4E58
04E59-qrit4	乙		qrit	qrit4	4	5	44	2	"[""切三"", ""P3694v""]"	於筆反		於筆反		於筆切				影	質	入	U+4E59
04E5D-kyu1	九		kyu	kyu1	1	43	18	2	"[""切三""]"	null		null		null		居尤切		見	尤	平	U+4E5D
04E5D-kyu2	九		kyú	kyu2	2	41	7	3	"[""P3693v""]"	舉有反		舉有反		舉有切				見	有	上	U+4E5D
04E5E-khiwi3	乞		khiə̂i	khiwi3	3	8	13	0	"[""藤田2018""]"	null		去既反		去既切				溪	未	去	U+4E5E
04E5E-khiwt4	乞		khiət	khiwt4	4	8	6	2	"[""切三"", ""P3694v""]"	去訖反		去訖反		去訖切				溪	迄	入	U+4E5E
04E69-kei1	乩		kei	kei1	1	12	8	0	"[""藤田2018""]"	null		null		null		堅奚切		見	齊	平	U+4E69
04E79-grien1	乹		grien	grien1	1	28	39	2	"[""切三""]"	渠焉反		渠焉反		null				群	仙	平	U+4E79
04E7E-grien1	乾		grien	grien1	1	28	39	2	"[""切三""]"	渠焉反		渠焉反	《王三》未收，《王一》渠焉反。	渠焉切				群	仙	平	U+4E7E
04E7E-kan1	乾		kan	kan1	1	24	17	2	"[""切三""]"	古寒反		古寒反		古寒切				見	寒	平	U+4E7E
04E85-gyat4	亅		gyat	gyat4	4	9	7	2	"[""切三"", ""P3694v""]"	null		null		其月切				群	月	入	U+4E85
04E86-leu2	了		léu	leu2	2	27	4	2	"[""切三""]"	盧鳥反		盧鳥反		盧鳥切				來	篠	上	U+4E86
04E88-jio1	予		jio	jio1	1	9	6	3	"[""切二""]"	与魚反		与魚反	《王一》与魚反，《王三》与魚反脱字。	以諸切				以	魚	平	U+4E88
04E88-jio2	予		jió	jio2	2	8	4	2	"[""切三""]"	余筥反		余筥反		余吕切				以	語	上	U+4E88
04E89-creng1	争		creŋ	creng1	1	40	18	2	"[""切三""]"	側莖反		側莖反		側莖切				莊	耕	平	U+4E89
04E89-creng3	争		crêŋ	creng3	3	43	1	0	"[""藤田2018""]"	null		null		側迸切				莊	諍	去	U+4E89
04E8C-ni3	二		nî	ni3	3	6	30	0	"[""藤田2018""]"	而至反		而至反		而至切				日	至	去	U+4E8C
04E8E-qhyo1	于		qhyo	qhyo1	1	10	5	2	"[""切三""]"	null		null		null		null		null	null	null	U+4E8E
04E8E-qyo1	于		qyo	qyo1	1	10	22	2	"[""切三""]"	null		null		null		邕俱切		null	null	null	U+4E8E
04E8E-xyo1	于		xyo	xyo1	1	10	4	2	"[""切三""]"	羽俱反		羽俱反		羽俱切				云	虞	平	U+4E8E
04E91-xyun1	云		xyun	xyun1	1	19	2	2	"[""切三""]"	户分反		王分反		王分切				云	文	平	U+4E91
04E93-giw1	亓		giə	giw1	1	7	7	2	"[""切三""]"	null		null		null		渠之切		null	null	null	U+4E93
04E94-ngo2	五		ŋó	ngo2	2	10	8	2	"[""切三""]"	吾古反		吾古反		疑古切				疑	姥	上	U+4E94
04E95-cieng2	井		ciéŋ	cieng2	2	39	11	2	"[""切三""]"	子郢反		子郢反		子郢切				精	静	上	U+4E95
04EA1-myang1	亡		myaŋ	myang1	1	37	18	2	"[""切三""]"	武方反		武方反		武方切				微	陽	平	U+4EA1
04EA1-myo1	亡		myo	myo1	1	10	3	2	"[""切三""]"	null		null		null		微夫切		微	虞	平	U+4EA1
04EA4-krau1	交		krau	krau1	1	31	2	2	"[""切三""]"	古肴反		古肴反		古肴切				見	肴	平	U+4EA4
04EA5-xwi2	亥		xə́i	xwi2	2	15	7	1	"[""切一""]"	胡改反		胡改反		胡改切				匣	海	上	U+4EA5
04EA6-jiek4	亦		jiek	jiek4	4	17	4	2	"[""切三""]"	羊益反		羊益反		羊益切				以	昔	入	U+4EA6
04EA8-phrang1	亨		phraŋ	phrang1	1	39	14	2	"[""切三""]"	撫庚反		撫庚反		撫庚切				滂	庚	平	U+4EA8
04EA8-qhiang2	亨		qhiáŋ	qhiang2	2	35	13	1	"[""P4917""]"	null		null		許兩切				曉	養	上	U+4EA8
04EA8-qhrang1	亨		qhraŋ	qhrang1	1	39	9	2	"[""切三""]"	許庚反		許庚反		許庚切				曉	庚	平	U+4EA8
04EAB-qhiang2	享		qhiáŋ	qhiang2	2	35	13	1	"[""P4917""]"	許兩反		許兩反		許兩切				曉	養	上	U+4EAB
04EAC-krieng1	京		krieŋ	krieng1	1	39	16	2	"[""切三""]"	九卿反		舉卿反		舉卿切				見	庚	平	U+4EAC
04EAD-deng1	亭		deŋ	deng1	1	42	4	2	"[""切三""]"	特丁反		特丁反		特丁切				定	青	平	U+4EAD
04EAE-liang1	亮		liaŋ	liang1	1	37	3	2	"[""切三""]"	null		null		null		吕張切		來	陽	平	U+4EAE
04EAE-liang3	亮		liâŋ	liang3	3	40	2	0	"[""藤田2018""]"	力讓反		力讓反		力讓切				來	漾	去	U+4EAE
04EB6-dan2	亶		dán	dan2	2	22	16	2	"[""切三""]"	null		null		null		蕩旱切		定	旱	上	U+4EB6
04EB6-dien1	亶		dien	dien1	1	28	13	2	"[""切三""]"	null		null		null		時連切		null	null	null	U+4EB6
04EB6-tan2	亶		tán	tan2	2	22	18	1	"[""切一""]"	多旱反		多旱反		多旱切				端	旱	上	U+4EB6
04EBA-nin1	人		nin	nin1	1	17	13	2	"[""切三""]"	如鄰反		如鄰反		如鄰切				日	真	平	U+4EBA
04EC0-dip4	什		dip	dip4	4	26	2	2	"[""切三"", ""P3799""]"	是執反		是執反		是執切				禪	緝	入	U+4EC0
04EC1-nin1	仁		nin	nin1	1	17	13	2	"[""切三""]"	如鄰反		如鄰反		如鄰切				日	真	平	U+4EC1
04EC3-teng1	仃		teŋ	teng1	1	42	5	2	"[""切三""]"	null		null		當經切				端	青	平	U+4EC3
04EC4-criwk4	仄		criək	criwk4	4	29	25	2	"[""P4746""]"	□□□	《藤田2018》阻力反。	阻力反		阻力切				莊	職	入	U+4EC4
04EC7-gyu1	仇		gyu	gyu1	1	43	29	2	"[""切三""]"	巨鳩反		巨鳩反		巨鳩切				群	尤	平	U+4EC7
04ECA-krim1	今		krim	krim1	1	46	21	2	"[""S6187""]"	居音反		居音反		居吟切				見	侵	平	U+4ECA
04ECB-krei3	介		krêi	krei3	3	16	4	3	"[""P3696(1)v""]"	古拜反		古拜反		古拜切				見	怪	去	U+4ECB
04ED4-ciw1	仔		ciə	ciw1	1	7	21	2	"[""切三""]"	null		子慈反		子之切				null	null	null	U+4ED4
04ED4-ciw2	仔		ciə́	ciw2	2	6	17	2	"[""切三"", ""TIVK75-100br""]"	null		即里反		即里切				精	止	上	U+4ED4
04ED4-cwi2	仔		cə́i	cwi2	2	15	3	2	"[""切三""]"	null		null		null		null		null	null	null	U+4ED4
04ED7-driang2	仗		driáŋ	driang2	2	35	15	1	"[""P4917""]"	null		直兩反		直兩切				澄	養	上	U+4ED7
04ED7-driang3	仗		driâŋ	driang3	3	40	9	2	"[""S6176v""]"	直亮反		直亮反		直亮切				null	null	null	U+4ED7
04ED9-sien1	仙		sien	sien1	1	28	1	2	"[""切三""]"	相然反		相然反		相然切				心	仙	平	U+4ED9
04EDD-dung1	仝		duŋ	dung1	1	1	2	3	"[""切二""]"	null		徒紅反		徒紅切				定	東	平	U+4EDD
04EDF-chen1	仟		chen	chen1	1	27	3	2	"[""切三""]"	倉先反		倉先反		蒼先切				清	先	平	U+4EDF
04EE1-kiwt4	仡		kiət	kiwt4	4	8	2	2	"[""切三"", ""P3694v""]"	null		null		null		null		null	null	null	U+4EE1
04EE1-ngiwt4	仡		ŋiət	ngiwt4	4	8	3	2	"[""切三"", ""P3694v""]"	null		null		魚迄切				疑	迄	入	U+4EE1
04EE1-ngwt4	仡		ŋət	ngwt4	4	10	9	2	"[""切三"", ""P3694v""]"	null		null		null		五忽切		疑	没	入	U+4EE1
04EE1-qhiwt4	仡		qhiət	qhiwt4	4	8	1	2	"[""切三""]"	許訖反		許訖反		許訖切				null	null	null	U+4EE1
04EE5-jiw2	以		jiə́	jiw2	2	6	5	2	"[""切三""]"	羊止反		羊止反		羊己切				以	止	上	U+4EE5
04EF2-dryung3	仲		dryûŋ	dryung3	3	1	12	3	"[""P3696(1)r""]"	直衆反		直衆反		直衆切				澄	送	去	U+4EF2
04EF5-ngo2	仵		ŋó	ngo2	2	10	8	2	"[""切三""]"	null		吾古反		疑古切				疑	姥	上	U+4EF5
04EF6-grien2	件		grién	grien2	2	26	15	2	"[""切三""]"	其輦反		其輦反		其輦切				群	獮	上	U+4EF6
04EF7-krei3	价		krêi	krei3	3	16	4	3	"[""P3696(1)v""]"	古拜反		古拜反		古拜切				見	怪	去	U+4EF7
04EFF-byang1	仿		byaŋ	byang1	1	37	6	2	"[""切三""]"	null		null		null		符方切		奉	陽	平	U+4EFF
04EFF-phyang3	仿		phyáŋ	phyang3	3	21	4	2	"[""切三""]"	芳兩反		芳兩反		妃兩切				敷	養	上	U+4EFF
04F01-khie2	企		khié	khie2	2	4	null	2	"[""切三""]"	null		null		丘弭切				溪	紙	上	U+4F01
04F01-khie3	企		khiê	khie3	3	5	28	3	"[""P3696(1)r""]"	去智反		去智反		去智切				null	null	null	U+4F01
04F03-jio1	伃		jio	jio1	1	9	6	3	"[""切二""]"	与魚反		与魚反	《王一》与魚反，《王三》与魚反未收。	以諸切				以	魚	平	U+4F03
04F0A-qi1	伊		qi	qi1	1	6	16	1	"[""大谷8107""]"	於脂反		於脂反		於脂切				影	脂	平	U+4F0A
04F0B-grip4	伋		grip	grip4	4	26	11	2	"[""切三"", ""P3799""]"	null		null		null		極入切		群	緝	入	U+4F0B
04F0B-krip4	伋		krip	krip4	4	26	15	2	"[""切三""]"	居立反		居立反		居立切				見	緝	入	U+4F0B
04F0D-ngo2	伍		ŋó	ngo2	2	10	8	2	"[""切三""]"	吾古反		吾古反		疑古切				疑	姥	上	U+4F0D
04F0E-grie1	伎		grie	grie1	1	5	19	3	"[""切二""]"	null		null		巨支				群	支	平	U+4F0E
04F0E-grie2	伎		grié	grie2	2	4	12	2	"[""切三""]"	渠綺反		渠綺反		渠綺切				群	紙	上	U+4F0E
04F0E-tie3	伎		tiê	tie3	3	5	1	3	"[""P3696(1)r""]"	支義反		支義反		支義切				null	null	null	U+4F0E
04F0F-byu3	伏		byû	byu3	3	46	23	2	"[""P3694r""]"	null		null		扶富切				奉	宥	去	U+4F0F
04F0F-byuk4	伏		byuk	byuk4	4	1	19	2	"[""切三""]"	房六反		房六反		房六切				奉	屋	入	U+4F0F
04F11-qhyo3	休		qhyô	qhyo3	3	10	8	0	"[""藤田2018""]"	null		null		null		吁句切		null	null	null	U+4F11
04F11-qhyu1	休		qhyu	qhyu1	1	43	24	2	"[""切三""]"	許尤反		許尤反		許尤切				曉	尤	平	U+4F11
04F19-qhua2	伙		qhuá	qhua2	2	31	2	2	"[""切三""]"	null		null		null		null		null	null	null	U+4F19
04F2D-xen1	伭		xen	xen1	1	27	7	2	"[""切三""]"	null		null		胡田切				null	null	null	U+4F2D
04F2F-mrak4	伯		mrak	mrak4	4	19	1	2	"[""切三""]"	null		null		null		null		明	陌	入	U+4F2F
04F2F-pra3	伯		prâ	pra3	3	37	21	0	"[""藤田2018""]"	null		null		null		null		幫	禡	去	U+4F2F
04F2F-prak4	伯		prak	prak4	4	19	3	2	"[""切三""]"	博白反		博白反		博陌切				幫	陌	入	U+4F2F
04F30-ko2	估		kó	ko2	2	10	6	2	"[""切三""]"	姑户反		姑户反		公户切				見	姥	上	U+4F30
04F34-ban2	伴		bán	ban2	2	22	13	1	"[""切一""]"	■□□	《切三》薄旱反。	薄旱反		蒲旱切				並	緩	上	U+4F34
04F34-ban3	伴		bân	ban3	3	27	12	0	"[""藤田2018""]"	null		null		薄半切				並	换	去	U+4F34
04F37-dryu3	伷		dryû	dryu3	3	46	3	2	"[""P3694r""]"	直祐反		直祐反		直祐切				澄	宥	去	U+4F37
04F38-shin1	伸		shin	shin1	1	17	14	2	"[""切三""]"	書鄰反		書鄰反		失人切				書	真	平	U+4F38
04F3D-gia1	伽		gia	gia1	1	33	32	2	"[""切三""]"	〼〼〼	《切三》歌韵：“無反語，噱之平聲。”《藤田2018》歌韵未收。	求迦反		求迦切				群	戈	平	U+4F3D
04F43-den1	佃		den	den1	1	27	10	2	"[""切三""]"	徒賢反		徒賢反		徒年切				定	先	平	U+4F43
04F43-den3	佃		dên	den3	3	30	6	0	"[""藤田2018""]"	null		堂見反		堂練切				定	霰	去	U+4F43
04F46-dan1	但		dan	dan1	1	24	18	2	"[""切三""]"	null		null		徒干切				null	null	null	U+4F46
04F46-dan2	但		dán	dan2	2	22	16	2	"[""切三""]"	徒旱反		徒旱反		徒旱切				定	旱	上	U+4F46
04F46-dan3	但		dân	dan3	3	27	21	0	"[""藤田2018""]"	null		null		徒案切				null	null	null	U+4F46
04F4D-xryi3	位		xrŷi	xryi3	3	6	2	0	"[""藤田2018""]"	洧冀反		洧冀反		于愧切				云	至	去	U+4F4D
04F50-ca3	佐		câ	ca3	3	36	3	0	"[""藤田2018""]"	作箇反		作箇反		則箇切				精	個	去	U+4F50
04F51-xyu3	佑		xyû	xyu3	3	46	1	2	"[""P3694r""]"	尤救反		尤救反		于救切				云	宥	去	U+4F51
04F53-bun2	体		bún	bun2	2	20	12	1	"[""切一""]"	null		盆本反		蒲本切				null	null	null	U+4F53
04F55-xa1	何		xa	xa1	1	33	21	2	"[""切三""]"	胡歌反		韓柯反		胡歌切				匣	歌	平	U+4F55
04F55-xa2	何		xá	xa2	2	31	null	2	"[""切三""]"	null		null		胡可切				匣	哿	上	U+4F55
04F58-dia1	佘		dia	dia1	1	34	24	2	"[""切三""]"	null		null		視遮切				禪	麻	平	U+4F58
04F59-do1	余		do	do1	1	11	5	1	"[""P3695&P3696(p13)""]"	null		null		null		同都切		null	null	null	U+4F59
04F59-jio1	余		jio	jio1	1	9	6	2	"[""切三""]"	与魚反		与魚反		以諸切				以	魚	平	U+4F59
04F59-jio3	余		jiô	jio3	3	9	19	0	"[""藤田2018""]"	null		null		null		羊茹切		null	null	null	U+4F59
04F59-shio1	余		shio	shio1	1	9	3	3	"[""切二""]"	null		null		null		商居切		null	null	null	U+4F59
04F59-zio1	余		zio	zio1	1	9	13	2	"[""切三""]"	null		null		null		祥余切		null	null	null	U+4F59
04F5A-det4	佚		det	det4	4	14	10	2	"[""切三""]"	null		null		null		徒結切		定	屑	入	U+4F5A
04F5A-jit4	佚		jit	jit4	4	5	11	2	"[""切三""]"	夷質反		夷質反		夷質切				以	質	入	U+4F5A
04F5D-qhu3	佝		qhû	qhu3	3	47	15	2	"[""P3694r""]"	null		null		呼漏切				曉	候	去	U+4F5D
