pieutiwbyo	zyokdziw	tiengdziw	thongqitmraZyokdziw	thongqitmraTiengdziw
03D6703D67	㵧	㵧	U+3D67	U+3D67
03D8503D85	㶅	㶅	U+3D85	U+3D85
03D9403D94	㶔	㶔	U+3D94	U+3D94
03E6003E60	㹠	㹠	U+3E60	U+3E60
03E6F08C85	㹯	貅	U+3E6F	U+8C85
03EAE07397	㺮	玗	U+3EAE	U+7397
03F7505E84	㽵	庄	U+3F75	U+5E84
03FDF03FDF	㿟	㿟	U+3FDF	U+3FDF
040D5040D5	䃕	䃕	U+40D5	U+40D5
041AB07A97	䆫	窗	U+41AB	U+7A97
041DF041DF	䇟	䇟	U+41DF	U+41DF
0420E0420E	䈎	䈎	U+420E	U+420E
0428B07CA7	䊋	粧	U+428B	U+7CA7
042AA07CF2	䊪	糲	U+42AA	U+7CF2
042B7042B7	䊷	䊷	U+42B7	U+42B7
042CE042CE	䋎	䋎	U+42CE	U+42CE
0434304343	䍃	䍃	U+4343	U+4343
0435007F55	䍐	罕	U+4350	U+7F55
043C80806F	䏈	聯	U+43C8	U+806F
044D6085ED	䓖	藭	U+44D6	U+85ED
0451604516	䔖	䔖	U+4516	U+4516
045430852D	䕃	蔭	U+4543	U+852D
0459D0866B	䖝	虫	U+459D	U+866B
0459F0867B	䖟	虻	U+459F	U+867B
045B5045B5	䖵	䖵	U+45B5	U+45B5
045E008701	䗠	蜁	U+45E0	U+8701
046070868A	䘇	蚊	U+4607	U+868A
0462E055AA	䘮	喪	U+462E	U+55AA
0467703775	䙷	㝵	U+4677	U+3775
0470B0470B	䜋	䜋	U+470B	U+470B
0472308A22	䜣	訢	U+4723	U+8A22
0481904819	䠙	䠙	U+4819	U+4819
0483605C04	䠶	射	U+4836	U+5C04
048B5048B5	䢵	䢵	U+48B5	U+48B5
048BC048BC	䢼	䢼	U+48BC	U+48BC
0495D093D6	䥝	鏖	U+495D	U+93D6
0496404964	䥤	䥤	U+4964	U+4964
049DF09677	䧟	陷	U+49DF	U+9677
04A68097D4	䩨	韔	U+4A68	U+97D4
04AA104AA1	䪡	䪡	U+4AA1	U+4AA1
04B03098AF	䬃	颯	U+4B03	U+98AF
04B7E099B1	䭾	馱	U+4B7E	U+99B1
04BAF09A41	䮯	驁	U+4BAF	U+9A41
04BCE04BCE	䯎	䯎	U+4BCE	U+4BCE
04C1F09B42	䰟	魂	U+4C1F	U+9B42
04C9404C94	䲔	䲔	U+4C94	U+4C94
04C9F09BA3	䲟	鮣	U+4C9F	U+9BA3
04CA209C27	䲢	鰧	U+4CA2	U+9C27
04CD809D5D	䳘	鵝	U+4CD8	U+9D5D
04D1409D41	䴔	鵁	U+4D14	U+9D41
04D1609D84	䴖	鶄	U+4D16	U+9D84
04D5204D52	䵒	䵒	U+4D52	U+4D52
04E0004E00	一	一	U+4E00	U+4E00
04E0104E01	丁	丁	U+4E01	U+4E01
04E0304E03	七	七	U+4E03	U+4E03
04E0704E07	万	万	U+4E07	U+4E07
04E070842C	万	萬	U+4E07	U+842C
04E0804E08	丈	丈	U+4E08	U+4E08
04E0904E09	三	三	U+4E09	U+4E09
04E0A04E0A	上	上	U+4E0A	U+4E0A
04E0B04E0B	下	下	U+4E0B	U+4E0B
04E0E04E0E	与	与	U+4E0E	U+4E0E
04E0F04E0F	丏	丏	U+4E0F	U+4E0F
04E1104E11	丑	丑	U+4E11	U+4E11
04E110919C	丑	醜	U+4E11	U+919C
04E1305C08	专	專	U+4E13	U+5C08
04E1404E14	且	且	U+4E14	U+4E14
04E1604E16	世	世	U+4E16	U+4E16
04E1804E18	丘	丘	U+4E18	U+4E18
04E1A0696D	业	業	U+4E1A	U+696D
04E1D07D72	丝	絲	U+4E1D	U+7D72
04E25056B4	严	嚴	U+4E25	U+56B4
04E2604E26	並	並	U+4E26	U+4E26
04E27055AA	丧	喪	U+4E27	U+55AA
04E2804E28	丨	丨	U+4E28	U+4E28
04E2904E29	丩	丩	U+4E29	U+4E29
04E2A04E2A	个	个	U+4E2A	U+4E2A
04E2A0500B	个	個	U+4E2A	U+500B
04E2A07B87	个	箇	U+4E2A	U+7B87
04E2B04E2B	丫	丫	U+4E2B	U+4E2B
04E2D04E2D	中	中	U+4E2D	U+4E2D
04E3104E31	丱	丱	U+4E31	U+4E31
04E3204E32	串	串	U+4E32	U+4E32
04E34081E8	临	臨	U+4E34	U+81E8
04E3804E38	丸	丸	U+4E38	U+4E38
04E3904E39	丹	丹	U+4E39	U+4E39
04E3A07232	为	爲	U+4E3A	U+7232
04E3B04E3B	主	主	U+4E3B	U+4E3B
04E3C04E3C	丼	丼	U+4E3C	U+4E3C
04E4204E42	乂	乂	U+4E42	U+4E42
04E4504E45	久	久	U+4E45	U+4E45
04E4907FA9	义	義	U+4E49	U+7FA9
04E4B04E4B	之	之	U+4E4B	U+4E4B
04E4E04E4E	乎	乎	U+4E4E	U+4E4E
04E5006A02	乐	樂	U+4E50	U+6A02
04E54055AC	乔	喬	U+4E54	U+55AC
04E550864E	乕	虎	U+4E55	U+864E
04E5604E56	乖	乖	U+4E56	U+4E56
04E5704E58	乗	乘	U+4E57	U+4E58
04E5804E58	乘	乘	U+4E58	U+4E58
04E5904E59	乙	乙	U+4E59	U+4E59
04E5D04E5D	九	九	U+4E5D	U+4E5D
04E5E04E5E	乞	乞	U+4E5E	U+4E5E
04E6007FD2	习	習	U+4E60	U+7FD2
04E6109109	乡	鄉	U+4E61	U+9109
04E66066F8	书	書	U+4E66	U+66F8
04E6904E69	乩	乩	U+4E69	U+4E69
04E7904E79	乹	乹	U+4E79	U+4E79
04E7E04E79	乾	乹	U+4E7E	U+4E79
04E7E04E7E	乾	乾	U+4E7E	U+4E7E
04E8009F9C	亀	龜	U+4E80	U+9F9C
04E8504E85	亅	亅	U+4E85	U+4E85
04E8604E86	了	了	U+4E86	U+4E86
04E8804E88	予	予	U+4E88	U+4E88
04E8808C6B	予	豫	U+4E88	U+8C6B
04E8904E89	争	争	U+4E89	U+4E89
04E8B04E8B	事	事	U+4E8B	U+4E8B
04E8C04E8C	二	二	U+4E8C	U+4E8C
04E8E04E8E	于	于	U+4E8E	U+4E8E
04E9104E91	云	云	U+4E91	U+4E91
04E91096F2	云	雲	U+4E91	U+96F2
04E9304E93	亓	亓	U+4E93	U+4E93
04E9404E94	五	五	U+4E94	U+4E94
04E9504E95	井	井	U+4E95	U+4E95
04E9A04E9E	亚	亞	U+4E9A	U+4E9E
04E9C04E9E	亜	亞	U+4E9C	U+4E9E
04E9E04E9E	亞	亞	U+4E9E	U+4E9E
04EA104EA1	亡	亡	U+4EA1	U+4EA1
04EA404EA4	交	交	U+4EA4	U+4EA4
04EA504EA5	亥	亥	U+4EA5	U+4EA5
04EA604EA6	亦	亦	U+4EA6	U+4EA6
04EA707523	产	産	U+4EA7	U+7523
04EA804EA8	亨	亨	U+4EA8	U+4EA8
04EA90755D	亩	畝	U+4EA9	U+755D
04EAB04EAB	享	享	U+4EAB	U+4EAB
04EAC04EAC	京	京	U+4EAC	U+4EAC
04EAD04EAD	亭	亭	U+4EAD	U+4EAD
04EAE04EAE	亮	亮	U+4EAE	U+4EAE
04EAF04EAB	亯	享	U+4EAF	U+4EAB
04EB004EAC	亰	京	U+4EB0	U+4EAC
04EB2089AA	亲	親	U+4EB2	U+89AA
04EB50893B	亵	褻	U+4EB5	U+893B
04EB604EB6	亶	亶	U+4EB6	U+4EB6
04EBA04EBA	人	人	U+4EBA	U+4EBA
04EBF05104	亿	億	U+4EBF	U+5104
04EC004EC0	什	什	U+4EC0	U+4EC0
04EC104EC1	仁	仁	U+4EC1	U+4EC1
04EC304EC3	仃	仃	U+4EC3	U+4EC3
04EC404EC4	仄	仄	U+4EC4	U+4EC4
04EC5050C5	仅	僅	U+4EC5	U+50C5
04EC704EC7	仇	仇	U+4EC7	U+4EC7
04EC708B8E	仇	讎	U+4EC7	U+8B8E
04ECA04ECA	今	今	U+4ECA	U+4ECA
04ECB04ECB	介	介	U+4ECB	U+4ECB
04ECE05F9E	从	從	U+4ECE	U+5F9E
04ED305009	仓	倉	U+4ED3	U+5009
04ED404ED4	仔	仔	U+4ED4	U+4ED4
04ED704ED7	仗	仗	U+4ED7	U+4ED7
04ED904ED9	仙	仙	U+4ED9	U+4ED9
04EDD04EDD	仝	仝	U+4EDD	U+4EDD
04EDF04EDF	仟	仟	U+4EDF	U+4EDF
04EE104EE1	仡	仡	U+4EE1	U+4EE1
04EE504EE5	以	以	U+4EE5	U+4EE5
04EEA05100	仪	儀	U+4EEA	U+5100
04EF204EF2	仲	仲	U+4EF2	U+4EF2
04EF504EF5	仵	仵	U+4EF5	U+4EF5
04EF604EF6	件	件	U+4EF6	U+4EF6
04EF704EF7	价	价	U+4EF7	U+4EF7
04EF7050F9	价	價	U+4EF7	U+50F9
04EFF04EFF	仿	仿	U+4EFF	U+4EFF
04EFF05023	仿	倣	U+4EFF	U+5023
04EFF09AE3	仿	髣	U+4EFF	U+9AE3
04F0104F01	企	企	U+4F01	U+4F01
04F0304F03	伃	伃	U+4F03	U+4F03
04F0A04F0A	伊	伊	U+4F0A	U+4F0A
04F0B04F0B	伋	伋	U+4F0B	U+4F0B
04F0D04F0D	伍	伍	U+4F0D	U+4F0D
04F0E04F0E	伎	伎	U+4F0E	U+4F0E
04F0F04F0F	伏	伏	U+4F0F	U+4F0F
04F1104F11	休	休	U+4F11	U+4F11
04F1708846	众	衆	U+4F17	U+8846
04F180512A	优	優	U+4F18	U+512A
04F1904F19	伙	伙	U+4F19	U+4F19
04F1A06703	会	會	U+4F1A	U+6703
04F1B050B4	伛	傴	U+4F1B	U+50B4
04F1E05098	伞	傘	U+4F1E	U+5098
04F1E07E56	伞	繖	U+4F1E	U+7E56
04F1F05049	伟	偉	U+4F1F	U+5049
04F2304FD4	伣	俔	U+4F23	U+4FD4
04F24050B7	伤	傷	U+4F24	U+50B7
04F2505000	伥	倀	U+4F25	U+5000
04F2A050DE	伪	僞	U+4F2A	U+50DE
04F2D04F2D	伭	伭	U+4F2D	U+4F2D
04F2F04F2F	伯	伯	U+4F2F	U+4F2F
04F3004F30	估	估	U+4F30	U+4F30
04F3404F34	伴	伴	U+4F34	U+4F34
04F3704F37	伷	伷	U+4F37	U+4F37
04F3804F38	伸	伸	U+4F38	U+4F38
04F3D04F3D	伽	伽	U+4F3D	U+4F3D
04F4304F43	佃	佃	U+4F43	U+4F43
04F4604F46	但	但	U+4F46	U+4F46
04F4D04F4D	位	位	U+4F4D	U+4F4D
04F5004F50	佐	佐	U+4F50	U+4F50
04F5104F51	佑	佑	U+4F51	U+4F51
04F5304F53	体	体	U+4F53	U+4F53
04F5309AD4	体	體	U+4F53	U+9AD4
04F5504F55	何	何	U+4F55	U+4F55
04F5804F58	佘	佘	U+4F58	U+4F58
04F5904F58	余	佘	U+4F59	U+4F58
04F5904F59	余	余	U+4F59	U+4F59
04F5909918	余	餘	U+4F59	U+9918
04F5A04F5A	佚	佚	U+4F5A	U+4F5A
04F5D04F5D	佝	佝	U+4F5D	U+4F5D
04F5E04F5E	佞	佞	U+4F5E	U+4F5E
04F5F04F5F	佟	佟	U+4F5F	U+4F5F
04F63050AD	佣	傭	U+4F63	U+50AD
04F65050C9	佥	僉	U+4F65	U+50C9
04F6904F69	佩	佩	U+4F69	U+4F69
04F6A04F6A	佪	佪	U+4F6A	U+4F6A
04F7004F70	佰	佰	U+4F70	U+4F70
04F7304F73	佳	佳	U+4F73	U+4F73
04F7404F74	佴	佴	U+4F74	U+4F74
04F7604F76	佶	佶	U+4F76	U+4F76
04F7A04F7A	佺	佺	U+4F7A	U+4F7A
04F7C04F7C	佼	佼	U+4F7C	U+4F7C
04F7E04F7E	佾	佾	U+4F7E	U+4F7E
04F8404F84	侄	侄	U+4F84	U+4F84
04F84059EA	侄	姪	U+4F84	U+59EA
04F8604F86	來	來	U+4F86	U+4F86
04F8B04F8B	例	例	U+4F8B	U+4F8B
04F8C04F8C	侌	侌	U+4F8C	U+4F8C
04F8D04F8D	侍	侍	U+4F8D	U+4F8D
04F8F04F8F	侏	侏	U+4F8F	U+4F8F
04F9B04F9B	供	供	U+4F9B	U+4F9B
04F9C04F9C	侜	侜	U+4F9C	U+4F9C
04F9D04F9D	依	依	U+4F9D	U+4F9D
04FA004FE0	侠	俠	U+4FA0	U+4FE0
04FA1050F9	価	價	U+4FA1	U+50F9
04FA304FA3	侣	侣	U+4FA3	U+4FA3
04FA605075	侦	偵	U+4FA6	U+5075
04FA8050D1	侨	僑	U+4FA8	U+50D1
04FA905108	侩	儈	U+4FA9	U+5108
04FAF04FAF	侯	侯	U+4FAF	U+4FAF
04FB504FB5	侵	侵	U+4FB5	U+4FB5
04FB604FA3	侶	侣	U+4FB6	U+4FA3
04FB704FB7	侷	侷	U+4FB7	U+4FB7
04FC104FE3	俁	俣	U+4FC1	U+4FE3
04FC204FC2	係	係	U+4FC2	U+4FC2
04FC304FC3	促	促	U+4FC3	U+4FC3
04FC404FC4	俄	俄	U+4FC4	U+4FC4
04FC504FC5	俅	俅	U+4FC5	U+4FC5
04FCA04FCA	俊	俊	U+4FCA	U+4FCA
04FCF04FCF	俏	俏	U+4FCF	U+4FCF
04FD004FD0	俐	俐	U+4FD0	U+4FD0
04FD104FD1	俑	俑	U+4FD1	U+4FD1
04FD404FD4	俔	俔	U+4FD4	U+4FD4
04FD804FD8	俘	俘	U+4FD8	U+4FD8
04FDA04FDA	俚	俚	U+4FDA	U+4FDA
04FDC04FDC	俜	俜	U+4FDC	U+4FDC
04FDD04FDD	保	保	U+4FDD	U+4FDD
04FDF04FDF	俟	俟	U+4FDF	U+4FDF
04FE004FE0	俠	俠	U+4FE0	U+4FE0
04FE104FE1	信	信	U+4FE1	U+4FE1
04FE304FE3	俣	俣	U+4FE3	U+4FE3
04FED05109	俭	儉	U+4FED	U+5109
04FEE04FEE	修	修	U+4FEE	U+4FEE
04FF104FF1	俱	俱	U+4FF1	U+4FF1
04FF604FF6	俶	俶	U+4FF6	U+4FF6
04FFA04FFA	俺	俺	U+4FFA	U+4FFA
0500005000	倀	倀	U+5000	U+5000
0500905009	倉	倉	U+5009	U+5009
0500B0500B	個	個	U+500B	U+500B
0500B07B87	個	箇	U+500B	U+7B87
0500F0500F	倏	倏	U+500F	U+500F
0500F05135	倏	儵	U+500F	U+5135
050100500F	倐	倏	U+5010	U+500F
0501405014	倔	倔	U+5014	U+5014
0501A0501A	倚	倚	U+501A	U+501A
0501C0501C	倜	倜	U+501C	U+501C
0501E0501E	倞	倞	U+501E	U+501E
0501F0501F	借	借	U+501F	U+501F
0502305023	倣	倣	U+5023	U+5023
050240503C	値	值	U+5024	U+503C
0502505025	倥	倥	U+5025	U+5025
0502605026	倦	倦	U+5026	U+5026
0502805028	倨	倨	U+5028	U+5028
0502905029	倩	倩	U+5029	U+5029
0502A0502A	倪	倪	U+502A	U+502A
0503604FF1	倶	俱	U+5036	U+4FF1
0503905109	倹	儉	U+5039	U+5109
0503C0503C	值	值	U+503C	U+503C
0503E050BE	倾	傾	U+503E	U+50BE
0504105041	偁	偁	U+5041	U+5041
0504805048	偈	偈	U+5048	U+5048
0504905049	偉	偉	U+5049	U+5049
0504A0504A	偊	偊	U+504A	U+504A
0504C0504C	偌	偌	U+504C	U+504C
0505505055	偕	偕	U+5055	U+5055
0505C0505C	停	停	U+505C	U+505C
0506505065	健	健	U+5065	U+5065
0506A0506A	偪	偪	U+506A	U+506A
0506D0506D	偭	偭	U+506D	U+506D
0507505075	偵	偵	U+5075	U+5075
0507D050DE	偽	僞	U+507D	U+50DE
0508505085	傅	傅	U+5085	U+5085
0508905089	傉	傉	U+5089	U+5089
0508D0508D	傍	傍	U+508D	U+508D
0509105091	傑	傑	U+5091	U+5091
0509106770	傑	杰	U+5091	U+6770
0509805098	傘	傘	U+5098	U+5098
0509807E56	傘	繖	U+5098	U+7E56
0509A0509A	傚	傚	U+509A	U+509A
0509E0509E	傞	傞	U+509E	U+509E
050A805132	储	儲	U+50A8	U+5132
050A90513A	傩	儺	U+50A9	U+513A
050AD050AD	傭	傭	U+50AD	U+50AD
050B2050B2	傲	傲	U+50B2	U+50B2
050B4050B4	傴	傴	U+50B4	U+50B4
050B7050B7	傷	傷	U+50B7	U+50B7
050BB050BB	傻	傻	U+50BB	U+50BB
050BE050BE	傾	傾	U+50BE	U+50BE
050C5050C5	僅	僅	U+50C5	U+50C5
050C9050C9	僉	僉	U+50C9	U+50C9
050CD050CD	働	働	U+50CD	U+50CD
050D1050D1	僑	僑	U+50D1	U+50D1
050D6050D6	僖	僖	U+50D6	U+50D6
050DA050DA	僚	僚	U+50DA	U+50DA
050DE050DE	僞	僞	U+50DE	U+50DE
050E9050E9	僩	僩	U+50E9	U+50E9
050F4050E9	僴	僩	U+50F4	U+50E9
050F5050F5	僵	僵	U+50F5	U+50F5
050F506BAD	僵	殭	U+50F5	U+6BAD
050F9050F9	價	價	U+50F9	U+50F9
050FD050FD	僽	僽	U+50FD	U+50FD
0510005100	儀	儀	U+5100	U+5100
0510405104	億	億	U+5104	U+5104
0510705107	儇	儇	U+5107	U+5107
0510805108	儈	儈	U+5108	U+5108
0510905109	儉	儉	U+5109	U+5109
0511205112	儒	儒	U+5112	U+5112
0512A0512A	優	優	U+512A	U+512A
0513205132	儲	儲	U+5132	U+5132
0513505135	儵	儵	U+5135	U+5135
0513A0513A	儺	儺	U+513A	U+513A
0513F0513F	儿	儿	U+513F	U+513F
0513F05152	儿	兒	U+513F	U+5152
0514105141	允	允	U+5141	U+5141
0514305143	元	元	U+5143	U+5143
0514405144	兄	兄	U+5144	U+5144
0514505145	充	充	U+5145	U+5145
0514705147	兇	兇	U+5147	U+5147
0514805148	先	先	U+5148	U+5148
0514905149	光	光	U+5149	U+5149
0514A05151	兊	兑	U+514A	U+5151
0514B0514B	克	克	U+514B	U+514B
0514B0524B	克	剋	U+514B	U+524B
0514C05151	兌	兑	U+514C	U+5151
0514E05154	兎	兔	U+514E	U+5154
0515005152	児	兒	U+5150	U+5152
0515105151	兑	兑	U+5151	U+5151
0515205152	兒	兒	U+5152	U+5152
0515405154	兔	兔	U+5154	U+5154
0516205162	兢	兢	U+5162	U+5162
0516505165	入	入	U+5165	U+5165
0516705185	內	内	U+5167	U+5185
0516805168	全	全	U+5168	U+5168
0516B0516B	八	八	U+516B	U+516B
0516C0516C	公	公	U+516C	U+516C
0516D0516D	六	六	U+516D	U+516D
0516E0516E	兮	兮	U+516E	U+516E
051700862D	兰	蘭	U+5170	U+862D
0517105171	共	共	U+5171	U+5171
05173095DC	关	關	U+5173	U+95DC
0517408208	兴	興	U+5174	U+8208
0517605176	其	其	U+5176	U+5176
0517705177	具	具	U+5177	U+5177
0517805178	典	典	U+5178	U+5178
0517905179	兹	兹	U+5179	U+5179
0517C0517C	兼	兼	U+517C	U+517C
0517D07378	兽	獸	U+517D	U+7378
0517E05180	兾	冀	U+517E	U+5180
0518005180	冀	冀	U+5180	U+5180
0518505185	内	内	U+5185	U+5185
0518605713	円	圓	U+5186	U+5713
0518805CA1	冈	岡	U+5188	U+5CA1
0518A0518C	冊	册	U+518A	U+518C
0518C0518C	册	册	U+518C	U+518C
0518D0518D	再	再	U+518D	U+518D
05191080C4	冑	胄	U+5191	U+80C4
0519705197	冗	冗	U+5197	U+5197
0519B08ECD	军	軍	U+519B	U+8ECD
051A0051A0	冠	冠	U+51A0	U+51A0
051AC051AC	冬	冬	U+51AC	U+51AC
051AC09F15	冬	鼕	U+51AC	U+9F15
051B2051B2	冲	冲	U+51B2	U+51B2
051B3051B3	决	决	U+51B3	U+51B3
051B5051B5	况	况	U+51B5	U+51B5
051B6051B6	冶	冶	U+51B6	U+51B6
051BC051BC	冼	冼	U+51BC	U+51BC
051BD051BD	冽	冽	U+51BD	U+51BD
051C0051C0	净	净	U+51C0	U+51C0
051C006D44	净	浄	U+51C0	U+6D44
051C4051C4	凄	凄	U+51C4	U+51C4
051C8051C0	凈	净	U+51C8	U+51C0
051C9051C9	凉	凉	U+51C9	U+51C9
051CA051CA	凊	凊	U+51CA	U+51CA
051CB051CB	凋	凋	U+51CB	U+51CB
051CC051CC	凌	凌	U+51CC	U+51CC
051D3051D3	凓	凓	U+51D3	U+51D3
051DB051DB	凛	凛	U+51DB	U+51DB
051DC051DB	凜	凛	U+51DC	U+51DB
051E005E7E	几	幾	U+51E0	U+5E7E
051E608655	処	處	U+51E6	U+8655
051E7051E7	凧	凧	U+51E7	U+51E7
051EA051EA	凪	凪	U+51EA	U+51EA
051EB09CEC	凫	鳬	U+51EB	U+9CEC
051EF051F1	凯	凱	U+51EF	U+51F1
051F0051F0	凰	凰	U+51F0	U+51F0
051F1051F1	凱	凱	U+51F1	U+51F1
051F605147	凶	兇	U+51F6	U+5147
051F6051F6	凶	凶	U+51F6	U+51F6
051F7051F7	凷	凷	U+51F7	U+51F7
051F8051F8	凸	凸	U+51F8	U+51F8
051FA051FA	出	出	U+51FA	U+51FA
0520105201	刁	刁	U+5201	U+5201
0520305203	刃	刃	U+5203	U+5203
0520505205	刅	刅	U+5205	U+5205
0520705207	切	切	U+5207	U+5207
0520805208	刈	刈	U+5208	U+5208
0520A0520A	刊	刊	U+520A	U+520A
0520A0681E	刊	栞	U+520A	U+681E
0520E0520E	刎	刎	U+520E	U+520E
0521105211	刑	刑	U+5211	U+5211
0521605216	刖	刖	U+5216	U+5216
0521705217	列	列	U+5217	U+5217
0521905247	则	則	U+5219	U+5247
0521A0525B	刚	剛	U+521A	U+525B
0521B05259	创	剙	U+521B	U+5259
0521B05275	创	創	U+521B	U+5275
0521D0521D	初	初	U+521D	U+521D
0522405224	判	判	U+5224	U+5224
0522805228	刨	刨	U+5228	U+5228
052280924B	刨	鉋	U+5228	U+924B
0522905229	利	利	U+5229	U+5229
0523105259	刱	剙	U+5231	U+5259
0523505235	刵	刵	U+5235	U+5235
0523605236	制	制	U+5236	U+5236
0523805238	券	券	U+5238	U+5238
05238052B5	券	劵	U+5238	U+52B5
0523A0523A	刺	刺	U+523A	U+523A
0523B0523B	刻	刻	U+523B	U+523B
0523F0528C	刿	劌	U+523F	U+528C
0524705247	則	則	U+5247	U+5247
0524A0524A	削	削	U+524A	U+524A
0524B0524B	剋	剋	U+524B	U+524B
0524C0524C	剌	剌	U+524C	U+524C
0524D0524D	前	前	U+524D	U+524D
0524F05259	剏	剙	U+524F	U+5259
052510528D	剑	劍	U+5251	U+528D
0525905259	剙	剙	U+5259	U+5259
0525B0525B	剛	剛	U+525B	U+525B
052630528D	剣	劍	U+5263	U+528D
0526705287	剧	劇	U+5267	U+5287
0526905269	剩	剩	U+5269	U+5269
0526908CF8	剩	賸	U+5269	U+8CF8
0527005269	剰	剩	U+5270	U+5269
0527205272	割	割	U+5272	U+5272
0527305273	剳	剳	U+5273	U+5273
0527505259	創	剙	U+5275	U+5259
0527505275	創	創	U+5275	U+5275
0527A0527A	剺	剺	U+527A	U+527A
0528205282	劂	劂	U+5282	U+5282
0528405284	劄	劄	U+5284	U+5284
0528705287	劇	劇	U+5287	U+5287
0528C0528C	劌	劌	U+528C	U+528C
0528D0528D	劍	劍	U+528D	U+528D
052920528D	劒	劍	U+5292	U+528D
0529B0529B	力	力	U+529B	U+529B
0529D052F8	劝	勸	U+529D	U+52F8
0529F0529F	功	功	U+529F	U+529F
052A0052A0	加	加	U+52A0	U+52A0
052A2052F1	劢	勱	U+52A2	U+52F1
052A3052A3	劣	劣	U+52A3	U+52A3
052A6052A6	劦	劦	U+52A6	U+52A6
052A8050CD	动	働	U+52A8	U+50CD
052A8052D5	动	動	U+52A8	U+52D5
052AA052AA	努	努	U+52AA	U+52AA
052AB052AB	劫	劫	U+52AB	U+52AB
052AC052AC	劬	劬	U+52AC	U+52AC
052B1052F5	励	勵	U+52B1	U+52F5
052B3052DE	劳	勞	U+52B3	U+52DE
052B4052DE	労	勞	U+52B4	U+52DE
052B5052B5	劵	劵	U+52B5	U+52B5
052B906548	効	效	U+52B9	U+6548
052BB052BB	劻	劻	U+52BB	U+52BB
052BC052BC	劼	劼	U+52BC	U+52BC
052BF052E2	势	勢	U+52BF	U+52E2
052C506555	勅	敕	U+52C5	U+6555
052C7052C7	勇	勇	U+52C7	U+52C7
052CB052DB	勋	勛	U+52CB	U+52DB
052CD052CD	勍	勍	U+52CD	U+52CD
052D1052D1	勑	勑	U+52D1	U+52D1
052D106555	勑	敕	U+52D1	U+6555
052D2052D2	勒	勒	U+52D2	U+52D2
052D4052D4	勔	勔	U+52D4	U+52D4
052D5050CD	動	働	U+52D5	U+50CD
052D5052D5	動	動	U+52D5	U+52D5
052D8052D8	勘	勘	U+52D8	U+52D8
052DA052E9	勚	勩	U+52DA	U+52E9
052DB052DB	勛	勛	U+52DB	U+52DB
052DD052DD	勝	勝	U+52DD	U+52DD
052DE052DE	勞	勞	U+52DE	U+52DE
052E2052E2	勢	勢	U+52E2	U+52E2
052E4052E4	勤	勤	U+52E4	U+52E4
052E4061C3	勤	懃	U+52E4	U+61C3
052E7052F8	勧	勸	U+52E7	U+52F8
052E9052E9	勩	勩	U+52E9	U+52E9
052F0052F0	勰	勰	U+52F0	U+52F0
052F1052F1	勱	勱	U+52F1	U+52F1
052F5052F5	勵	勵	U+52F5	U+52F5
052F8052F8	勸	勸	U+52F8	U+52F8
052F9052F9	勹	勹	U+52F9	U+52F9
