pieutiwbyo	dziwbyo	dziwbyoNguaidziw	thongqitmra
04D14	䴔		U+4D14
04D16	䴖		U+4D16
04D52	䵒		U+4D52
04E00	一		U+4E00
04E01	丁		U+4E01
04E03	七		U+4E03
04E07	万		U+4E07
04E08	丈		U+4E08
04E09	三		U+4E09
04E0A	上		U+4E0A
04E0B	下		U+4E0B
04E0F	丏		U+4E0F
04E11	丑		U+4E11
04E13	专		U+4E13
04E16	世		U+4E16
04E18	丘		U+4E18
04E1A	业		U+4E1A
04E1D	丝		U+4E1D
04E25	严		U+4E25
04E26	並		U+4E26
04E27	丧		U+4E27
04E28	丨		U+4E28
04E29	丩		U+4E29
04E2A	个		U+4E2A
04E2B	丫		U+4E2B
04E2D	中		U+4E2D
04E31	丱		U+4E31
04E32	串		U+4E32
04E34	临		U+4E34
04E39	丹		U+4E39
04E3A	为		U+4E3A
04E3C	丼		U+4E3C
04E45	久		U+4E45
04E49	义		U+4E49
04E4B	之		U+4E4B
04E50	乐		U+4E50
04E55	乕		U+4E55
04E56	乖		U+4E56
04E57	乗		U+4E57
04E58	乘		U+4E58
04E5D	九		U+4E5D
04E5E	乞		U+4E5E
04E60	习		U+4E60
04E61	乡		U+4E61
04E66	书		U+4E66
04E80	亀		U+4E80
04E85	亅		U+4E85
04E86	了		U+4E86
04E88	予		U+4E88
04E89	争		U+4E89
04E8C	二		U+4E8C
04E91	云		U+4E91
04E94	五		U+4E94
04E95	井		U+4E95
04E9A	亚		U+4E9A
04E9E	亞		U+4E9E
04EA1	亡		U+4EA1
04EA4	交		U+4EA4
04EA6	亦		U+4EA6
04EA7	产		U+4EA7
04EA8	亨		U+4EA8
04EA9	亩		U+4EA9
04EAB	享		U+4EAB
04EAC	京		U+4EAC
04EAD	亭		U+4EAD
04EAE	亮		U+4EAE
04EAF	亯		U+4EAF
04EB0	亰		U+4EB0
04EB2	亲		U+4EB2
04EB5	亵		U+4EB5
04EB6	亶		U+4EB6
04EBA	人		U+4EBA
04EBF	亿		U+4EBF
04EC0	什		U+4EC0
04EC1	仁		U+4EC1
04EC3	仃		U+4EC3
04EC4	仄		U+4EC4
04EC7	仇		U+4EC7
04ECA	今		U+4ECA
04ECB	介		U+4ECB
04ECE	从		U+4ECE
04ED4	仔		U+4ED4
04ED7	仗		U+4ED7
04ED9	仙		U+4ED9
04EDD	仝		U+4EDD
04EDF	仟		U+4EDF
04EE1	仡		U+4EE1
04EEA	仪		U+4EEA
04EF2	仲		U+4EF2
04EF5	仵		U+4EF5
04EF6	件		U+4EF6
04EF7	价		U+4EF7
04EFF	仿		U+4EFF
04F01	企		U+4F01
04F03	伃		U+4F03
04F0B	伋		U+4F0B
04F0D	伍		U+4F0D
04F0F	伏		U+4F0F
04F11	休		U+4F11
04F17	众		U+4F17
04F18	优		U+4F18
04F19	伙		U+4F19
04F1E	伞		U+4F1E
04F23	伣		U+4F23
04F24	伤		U+4F24
04F25	伥		U+4F25
04F2A	伪		U+4F2A
04F2D	伭		U+4F2D
04F2F	伯		U+4F2F
04F30	估		U+4F30
04F34	伴		U+4F34
04F37	伷		U+4F37
04F38	伸		U+4F38
04F43	佃		U+4F43
04F46	但		U+4F46
04F4D	位		U+4F4D
04F50	佐		U+4F50
04F51	佑		U+4F51
04F53	体		U+4F53
04F58	佘		U+4F58
04F59	余		U+4F59
04F5A	佚		U+4F5A
04F5D	佝		U+4F5D
04F5E	佞		U+4F5E
04F5F	佟		U+4F5F
04F63	佣		U+4F63
04F65	佥		U+4F65
04F69	佩		U+4F69
04F6A	佪		U+4F6A
04F70	佰		U+4F70
04F74	佴		U+4F74
04F76	佶		U+4F76
04F7A	佺		U+4F7A
04F7C	佼		U+4F7C
04F84	侄		U+4F84
04F86	來		U+4F86
04F8B	例		U+4F8B
04F8C	侌		U+4F8C
04F8D	侍		U+4F8D
04F8F	侏		U+4F8F
04F9B	供		U+4F9B
04F9C	侜		U+4F9C
04F9D	依		U+4F9D
04FA3	侣		U+4FA3
04FA6	侦		U+4FA6
04FB6	侶		U+4FB6
04FB7	侷		U+4FB7
04FC1	俁		U+4FC1
04FC2	係		U+4FC2
04FC3	促		U+4FC3
04FC4	俄		U+4FC4
04FC5	俅		U+4FC5
04FCA	俊		U+4FCA
04FCF	俏		U+4FCF
04FD0	俐		U+4FD0
04FD1	俑		U+4FD1
04FD4	俔		U+4FD4
04FD8	俘		U+4FD8
04FDA	俚		U+4FDA
04FDC	俜		U+4FDC
04FDD	保		U+4FDD
04FE1	信		U+4FE1
04FE3	俣		U+4FE3
04FED	俭		U+4FED
04FF1	俱		U+4FF1
05000	倀		U+5000
0500B	個		U+500B
05014	倔		U+5014
0501C	倜		U+501C
0501E	倞		U+501E
05023	倣		U+5023
05024	値		U+5024
05025	倥		U+5025
05028	倨		U+5028
05029	倩		U+5029
05036	倶		U+5036
05039	倹		U+5039
0503C	值		U+503C
0503E	倾		U+503E
05041	偁		U+5041
0504A	偊		U+504A
0505C	停		U+505C
0506D	偭		U+506D
05075	偵		U+5075
0507D	偽		U+507D
0508D	傍		U+508D
05098	傘		U+5098
0509A	傚		U+509A
0509E	傞		U+509E
050A8	储		U+50A8
050A9	傩		U+50A9
050AD	傭		U+50AD
050B2	傲		U+50B2
050B7	傷		U+50B7
050BB	傻		U+50BB
050BE	傾		U+50BE
050C9	僉		U+50C9
050DE	僞		U+50DE
050E9	僩		U+50E9
050F4	僴		U+50F4
050F5	僵		U+50F5
050FD	僽		U+50FD
05100	儀		U+5100
05104	億		U+5104
05109	儉		U+5109
0512A	優		U+512A
05132	儲		U+5132
0513A	儺		U+513A
0513F	儿		U+513F
05141	允		U+5141
05144	兄		U+5144
05145	充		U+5145
05147	兇		U+5147
05148	先		U+5148
05149	光		U+5149
0514E	兎		U+514E
05152	兒		U+5152
05154	兔		U+5154
05162	兢		U+5162
05165	入		U+5165
05167	內		U+5167
05168	全		U+5168
0516B	八		U+516B
0516D	六		U+516D
0516E	兮		U+516E
05171	共		U+5171
05173	关		U+5173
05174	兴		U+5174
05177	具		U+5177
05178	典		U+5178
05179	兹		U+5179
0517D	兽		U+517D
0517E	兾		U+517E
05180	冀		U+5180
05185	内		U+5185
05186	円		U+5186
05188	冈		U+5188
0518C	册		U+518C
0518D	再		U+518D
05191	冑		U+5191
0519B	军		U+519B
051AC	冬		U+51AC
051B2	冲		U+51B2
051B5	况		U+51B5
051B6	冶		U+51B6
051BC	冼		U+51BC
051BD	冽		U+51BD
051C0	净		U+51C0
051C8	凈		U+51C8
051C9	凉		U+51C9
051CA	凊		U+51CA
051CB	凋		U+51CB
051D3	凓		U+51D3
051DB	凛		U+51DB
051DC	凜		U+51DC
051E0	几		U+51E0
051E7	凧		U+51E7
051EA	凪		U+51EA
051EB	凫		U+51EB
051F0	凰		U+51F0
051F6	凶		U+51F6
051F7	凷		U+51F7
051F8	凸		U+51F8
051FA	出		U+51FA
05205	刅		U+5205
05207	切		U+5207
0520A	刊		U+520A
0520E	刎		U+520E
05211	刑		U+5211
05216	刖		U+5216
05217	列		U+5217
05219	则		U+5219
0521A	刚		U+521A
0521B	创		U+521B
0521D	初		U+521D
05224	判		U+5224
05228	刨		U+5228
05229	利		U+5229
05231	刱		U+5231
05235	刵		U+5235
0523F	刿		U+523F
0524A	削		U+524A
0524C	剌		U+524C
0524F	剏		U+524F
05251	剑		U+5251
05259	剙		U+5259
0525B	剛		U+525B
05263	剣		U+5263
05269	剩		U+5269
05270	剰		U+5270
05273	剳		U+5273
05275	創		U+5275
0527A	剺		U+527A
05282	劂		U+5282
05284	劄		U+5284
0528C	劌		U+528C
0528D	劍		U+528D
05292	劒		U+5292
0529B	力		U+529B
0529F	功		U+529F
052A2	劢		U+52A2
052A3	劣		U+52A3
052AA	努		U+52AA
052AC	劬		U+52AC
052B1	励		U+52B1
052B3	劳		U+52B3
052B4	労		U+52B4
052B9	効		U+52B9
052BB	劻		U+52BB
052BC	劼		U+52BC
052BF	势		U+52BF
052C5	勅		U+52C5
052C7	勇		U+52C7
052CB	勋		U+52CB
052CD	勍		U+52CD
052D1	勑		U+52D1
052D2	勒		U+52D2
052D4	勔		U+52D4
052DA	勚		U+52DA
052DB	勛		U+52DB
052DD	勝		U+52DD
052DE	勞		U+52DE
052E2	勢		U+52E2
052E9	勩		U+52E9
052F1	勱		U+52F1
052F5	勵		U+52F5
052F9	勹		U+52F9
052FE	勾		U+52FE
052FF	勿		U+52FF
05305	包		U+5305
05308	匈		U+5308
0530B	匋		U+530B
0530F	匏		U+530F
05316	化		U+5316
0531A	匚		U+531A
0531B	匛		U+531B
05321	匡		U+5321
05326	匦		U+5326
0532D	匭		U+532D
0532E	匮		U+532E
05331	匱		U+5331
05333	匳		U+5333
05335	匵		U+5335
05339	匹		U+5339
05340	區		U+5340
05341	十		U+5341
05343	千		U+5343
05344	卄		U+5344
05347	升		U+5347
05348	午		U+5348
05349	卉		U+5349
0534A	半		U+534A
0534E	华		U+534E
05357	南		U+5357
05362	卢		U+5362
05364	卤		U+5364
0536B	卫		U+536B
05370	印		U+5370
05375	卵		U+5375
05378	卸		U+5378
0537D	卽		U+537D
05386	历		U+5386
05389	厉		U+5389
0538B	压		U+538B
0538D	厍		U+538D
05398	厘		U+5398
05399	厙		U+5399
0539A	厚		U+539A
0539F	原		U+539F
053A2	厢		U+53A2
053A4	厤		U+53A4
053A5	厥		U+53A5
053B2	厲		U+53B2
053B9	厹		U+53B9
053BF	县		U+53BF
053C3	參		U+53C3
053C5	叅		U+53C5
053C8	又		U+53C8
053CA	及		U+53CA
053CB	友		U+53CB
053CE	収		U+53CE
053D7	受		U+53D7
053D9	叙		U+53D9
053E0	叠		U+53E0
053E3	口		U+53E3
053E4	古		U+53E4
053E5	句		U+53E5
053E9	叩		U+53E9
053EA	只		U+53EA
053EB	叫		U+53EB
053EE	叮		U+53EE
053F0	台		U+53F0
053F1	叱		U+53F1
053F3	右		U+53F3
053F4	叴		U+53F4
053F5	叵		U+53F5
053F6	叶		U+53F6
053F7	号		U+53F7
053F9	叹		U+53F9
05401	吁		U+5401
05403	吃		U+5403
05404	各		U+5404
05408	合		U+5408
05409	吉		U+5409
0540B	吋		U+540B
0540C	同		U+540C
0540D	名		U+540D
0540E	后		U+540E
05410	吐		U+5410
05411	向		U+5411
05413	吓		U+5413
05415	吕		U+5415
0541B	君		U+541B
0541D	吝		U+541D
0541E	吞		U+541E
0541F	吟		U+541F
0542A	吪		U+542A
0542B	含		U+542B
0542E	吮		U+542E
0542F	启		U+542F
05433	吳		U+5433
05434	吴		U+5434
05435	吵		U+5435
05436	吶		U+5436
05438	吸		U+5438
0543B	吻		U+543B
0543C	吼		U+543C
0543E	吾		U+543E
05442	呂		U+5442
05446	呆		U+5446
05448	呈		U+5448
05449	呉		U+5449
05450	呐		U+5450
05451	呑		U+5451
05453	呓		U+5453
05457	呗		U+5457
05458	员		U+5458
0545F	呟		U+545F
05468	周		U+5468
0546C	呬		U+546C
05474	呴		U+5474
0547B	呻		U+547B
05484	咄		U+5484
05486	咆		U+5486
0548E	咎		U+548E
0548F	咏		U+548F
054AC	咬		U+54AC
054AE	咮		U+54AE
054B2	咲		U+54B2
054BB	咻		U+54BB
054C0	哀		U+54C0
054C1	品		U+54C1
054C3	哃		U+54C3
054C4	哄		U+54C4
054C8	哈		U+54C8
054D5	哕		U+54D5
054D7	哗		U+54D7
054E1	員		U+54E1
054E2	哢		U+54E2
054E6	哦		U+54E6
054E8	哨		U+54E8
054E9	哩		U+54E9
054ED	哭		U+54ED
05501	唁		U+5501
05504	唄		U+5504
05506	唆		U+5506
05508	唈		U+5508
05510	唐		U+5510
05520	唠		U+5520
0552B	唫		U+552B
0552E	售		U+552E
05538	唸		U+5538
05541	啁		U+5541
05546	商		U+5546
0554E	啎		U+554E
0554F	問		U+554F
05555	啕		U+5555
0555F	啟		U+555F
05563	啣		U+5563
0556C	啬		U+556C
0557E	啾		U+557E
05580	喀		U+5580
05583	喃		U+5583
0558B	喋		U+558B
05591	喑		U+5591
0559F	喟		U+559F
055A4	喤		U+55A4
055A6	喦		U+55A6
055BE	喾		U+55BE
055C7	嗇		U+55C7
055D2	嗒		U+55D2
055DF	嗟		U+55DF
055E4	嗤		U+55E4
055E5	嗥		U+55E5
055F7	嗷		U+55F7
055F8	嗸		U+55F8
05606	嘆		U+5606
0560E	嘎		U+560E
05620	嘠		U+5620
05629	嘩		U+5629
0562E	嘮		U+562E
05637	嘷		U+5637
05642	噂		U+5642
0564F	噏		U+564F
05651	噑		U+5651
0565C	噜		U+565C
0565E	噞		U+565E
05664	噤		U+5664
05666	噦		U+5666
05668	器		U+5668
0566B	噫		U+566B
0566C	噬		U+566C
05673	噳		U+5673
05687	嚇		U+5687
0568A	嚊		U+568A
0568F	嚏		U+568F
05694	嚔		U+5694
05695	嚕		U+5695
0569A	嚚		U+569A
056A3	嚣		U+56A3
056B3	嚳		U+56B3
056B4	嚴		U+56B4
056BB	嚻		U+56BB
056BC	嚼		U+56BC
056C2	囂		U+56C2
056C8	囈		U+56C8
056CC	囌		U+56CC
056D7	囗		U+56D7
056D8	囘		U+56D8
056DB	四		U+56DB
056DE	回		U+56DE
056EC	囬		U+56EC
056ED	园		U+56ED
056EE	囮		U+56EE
056F0	困		U+56F0
056F3	図		U+56F3
056F4	围		U+56F4
056FA	固		U+56FA
056FE	图		U+56FE
056FF	囿		U+56FF
05704	圄		U+5704
05706	圆		U+5706
05709	圉		U+5709
0570A	圊		U+570A
0570D	圍		U+570D
0570E	圎		U+570E
05712	園		U+5712
05713	圓		U+5713
05716	圖		U+5716
0571F	土		U+571F
05723	圣		U+5723
05725	圥		U+5725
0572E	圮		U+572E
05739	圹		U+5739
0573A	场		U+573A
0573C	圼		U+573C
05740	址		U+5740
0574A	坊		U+574A
0574E	坎		U+574E
0575A	坚		U+575A
0575B	坛		U+575B
0575C	坜		U+575C
0575D	坝		U+575D
05760	坠		U+5760
05764	坤		U+5764
05766	坦		U+5766
05774	坴		U+5774
05786	垆		U+5786
0578B	型		U+578B
057A2	垢		U+57A2
057A4	垤		U+57A4
057BB	垻		U+57BB
057BE	垾		U+57BE
057C0	埀		U+57C0
057C7	埇		U+57C7
057CB	埋		U+57CB
057CE	城		U+57CE
057D8	埘		U+57D8
057D9	埙		U+57D9
057DC	埜		U+57DC
057E7	埧		U+57E7
057F4	埴		U+57F4
057F6	埶		U+57F6
05800	堀		U+5800
05805	堅		U+5805
0581E	堞		U+581E
05821	堡		U+5821
05822	堢		U+5822
05831	報		U+5831
05834	場		U+5834
05835	堵		U+5835
0583A	堺		U+583A
0584D	塍		U+584D
05852	塒		U+5852
05854	塔		U+5854
05857	塗		U+5857
05858	塘		U+5858
05864	塤		U+5864
05869	塩		U+5869
05872	塲		U+5872
05875	塵		U+5875
05885	墅		U+5885
05889	墉		U+5889
05899	墙		U+5899
0589C	墜		U+589C
058A8	墨		U+58A8
058AB	墫		U+58AB
058AD	墭		U+58AD
058BB	墻		U+58BB
058C3	壃		U+58C3
058C5	壅		U+58C5
058C7	壇		U+58C7
058C8	壈		U+58C8
058D1	壑		U+58D1
058D3	壓		U+58D3
058D9	壙		U+58D9
058DA	壚		U+58DA
058DC	壜		U+58DC
058DD	壝		U+58DD
058E2	壢		U+58E2
058EE	壮		U+58EE
058EF	壯		U+58EF
058F0	声		U+58F0
058F3	壳		U+58F3
058F6	壶		U+58F6
058F7	壷		U+58F7
058F8	壸		U+58F8
058F9	壹		U+58F9
058FA	壺		U+58FA
058FC	壼		U+58FC
058FD	壽		U+58FD
058FF	壿		U+58FF
05903	夃		U+5903
05904	处		U+5904
0590B	夋		U+590B
05912	夒		U+5912
05914	夔		U+5914
05915	夕		U+5915
05916	外		U+5916
0591C	夜		U+591C
0591F	够		U+591F
05920	夠		U+5920
05927	大		U+5927
05928	夨		U+5928
05929	天		U+5929
0592A	太		U+592A
05931	失		U+5931
05939	夹		U+5939
0593A	夺		U+593A
0593E	夾		U+593E
05941	奁		U+5941
0594B	奋		U+594B
05955	奕		U+5955
05956	奖		U+5956
05958	奘		U+5958
05961	奡		U+5961
05962	奢		U+5962
05967	奧		U+5967
05968	奨		U+5968
05969	奩		U+5969
0596A	奪		U+596A
0596C	奬		U+596C
0596D	奭		U+596D
0596E	奮		U+596E
05970	奰		U+5970
05973	女		U+5973
05974	奴		U+5974
05978	奸		U+5978
0597D	好		U+597D
05982	如		U+5982
05983	妃		U+5983
05984	妄		U+5984
05986	妆		U+5986
05987	妇		U+5987
0598D	妍		U+598D
05992	妒		U+5992
05998	妘		U+5998
05999	妙		U+5999
0599D	妝		U+599D
059A4	妤		U+59A4
059A8	妨		U+59A8
059AB	妫		U+59AB
059AC	妬		U+59AC
059AF	妯		U+59AF
059B2	妲		U+59B2
059CA	姊		U+59CA
059D1	姑		U+59D1
059D3	姓		U+59D3
059DC	姜		U+59DC
059DD	姝		U+59DD
059DE	姞		U+59DE
059E3	姣		U+59E3
059E4	姤		U+59E4
059E5	姥		U+59E5
059E6	姦		U+59E6
059EA	姪		U+59EA
059F6	姶		U+59F6
059F8	姸		U+59F8
05A01	威		U+5A01
05A09	娉		U+5A09
05A0C	娌		U+5A0C
05A18	娘		U+5A18
05A1B	娛		U+5A1B
05A25	娥		U+5A25
05A2F	娯		U+5A2F
05A31	娱		U+5A31
05A34	娴		U+5A34
05A64	婤		U+5A64
05A66	婦		U+5A66
05A67	婧		U+5A67
05A6A	婪		U+5A6A
05A76	婶		U+5A76
05A93	媓		U+5A93
05A9F	媟		U+5A9F
05AAD	媭		U+5AAD
05AAF	媯		U+5AAF
05AB5	媵		U+5AB5
05AB8	媸		U+5AB8
05AC4	嫄		U+5AC4
05AE0	嫠		U+5AE0
05AF1	嫱		U+5AF1
05AFA	嫺		U+5AFA
05AFB	嫻		U+5AFB
05B00	嬀		U+5B00
05B03	嬃		U+5B03
05B17	嬗		U+5B17
05B19	嬙		U+5B19
05B25	嬥		U+5B25
05B34	嬴		U+5B34
05B38	嬸		U+5B38
05B3E	嬾		U+5B3E
05B40	孀		U+5B40
05B50	子		U+5B50
05B51	孑		U+5B51
05B54	孔		U+5B54
05B55	孕		U+5B55
05B57	字		U+5B57
05B58	存		U+5B58
05B5A	孚		U+5B5A
05B5C	孜		U+5B5C
05B63	季		U+5B63
05B65	孥		U+5B65
05B66	学		U+5B66
05B73	孳		U+5B73
05B75	孵		U+5B75
05B76	孶		U+5B76
05B78	學		U+5B78
05B80	宀		U+5B80
05B82	宂		U+5B82
05B84	宄		U+5B84
05B88	守		U+5B88
05B8B	宋		U+5B8B
05B8D	宍		U+5B8D
05B95	宕		U+5B95
05B99	宙		U+5B99
05B9A	定		U+5B9A
05B9C	宜		U+5B9C
05B9D	宝		U+5B9D
05B9E	实		U+5B9E
05B9F	実		U+5B9F
05BA1	审		U+5BA1
05BA2	客		U+5BA2
05BA4	室		U+5BA4
05BA5	宥		U+5BA5
05BA6	宦		U+5BA6
05BAA	宪		U+5BAA
05BAB	宫		U+5BAB
05BAE	宮		U+5BAE
05BB5	宵		U+5BB5
05BBF	宿		U+5BBF
05BC7	寇		U+5BC7
05BD1	寑		U+5BD1
05BD2	寒		U+5BD2
05BE1	寡		U+5BE1
05BE2	寢		U+5BE2
05BE4	寤		U+5BE4
05BE6	實		U+5BE6
05BE9	審		U+5BE9
05BF3	寳		U+5BF3
05BF6	寶		U+5BF6
05BF8	寸		U+5BF8
05BF9	对		U+5BF9
05BFA	寺		U+5BFA
05BFB	寻		U+5BFB
05BFC	导		U+5BFC
05BFE	対		U+5BFE
05C04	射		U+5C04
05C06	将		U+5C06
05C07	將		U+5C07
05C08	專		U+5C08
05C09	尉		U+5C09
05C0A	尊		U+5C0A
05C0D	對		U+5C0D
05C0E	導		U+5C0E
05C0F	小		U+5C0F
05C11	少		U+5C11
05C16	尖		U+5C16
05C18	尘		U+5C18
05C19	尙		U+5C19
05C1F	尟		U+5C1F
05C24	尤		U+5C24
05C2A	尪		U+5C2A
05C2C	尬		U+5C2C
05C34	尴		U+5C34
05C37	尷		U+5C37
05C39	尹		U+5C39
05C3B	尻		U+5C3B
05C40	局		U+5C40
05C45	居		U+5C45
05C46	屆		U+5C46
05C48	屈		U+5C48
05C4A	届		U+5C4A
05C5A	屚		U+5C5A
05C5F	屟		U+5C5F
05C60	屠		U+5C60
05C65	履		U+5C65
05C67	屧		U+5C67
05C6C	屬		U+5C6C
05C6E	屮		U+5C6E
05C71	山		U+5C71
05C79	屹		U+5C79
05C7A	屺		U+5C7A
05C7E	屾		U+5C7E
05C81	岁		U+5C81
05C89	岉		U+5C89
05C8C	岌		U+5C8C
05C8D	岍		U+5C8D
05C91	岑		U+5C91
05C97	岗		U+5C97
05C98	岘		U+5C98
05C9A	岚		U+5C9A
05CA1	岡		U+5CA1
05CA3	岣		U+5CA3
05CA9	岩		U+5CA9
05CAB	岫		U+5CAB
05CB5	岵		U+5CB5
05CB8	岸		U+5CB8
05CC3	峃		U+5CC3
05CC9	峉		U+5CC9
05CD2	峒		U+5CD2
05CD9	峙		U+5CD9
05CDB	峛		U+5CDB
05CE5	峥		U+5CE5
05CE8	峨		U+5CE8
05CE9	峩		U+5CE9
05CED	峭		U+5CED
05CF4	峴		U+5CF4
05CFB	峻		U+5CFB
05CFF	峿		U+5CFF
05D03	崃		U+5D03
05D04	崄		U+5D04
05D06	崆		U+5D06
05D0B	崋		U+5D0B
05D0C	崌		U+5D0C
05D0D	崍		U+5D0D
05D10	崐		U+5D10
05D11	崑		U+5D11
05D17	崗		U+5D17
05D1B	崛		U+5D1B
05D1D	崝		U+5D1D
05D1F	崟		U+5D1F
05D22	崢		U+5D22
05D2B	崫		U+5D2B
05D34	崴		U+5D34
05D46	嵆		U+5D46
05D47	嵇		U+5D47
05D4A	嵊		U+5D4A
05D52	嵒		U+5D52
05D53	嵓		U+5D53
05D57	嵗		U+5D57
05D5A	嵚		U+5D5A
05D6B	嵫		U+5D6B
05D6F	嵯		U+5D6F
05D73	嵳		U+5D73
05D88	嶈		U+5D88
05D94	嶔		U+5D94
05D9F	嶟		U+5D9F
05DA1	嶡		U+5DA1
05DA8	嶨		U+5DA8
05DAA	嶪		U+5DAA
05DAB	嶫		U+5DAB
05DAE	嶮		U+5DAE
05DDB	巛		U+5DDB
05DDD	川		U+5DDD
05DDE	州		U+5DDE
05DDF	巟		U+5DDF
05DE1	巡		U+5DE1
05DE2	巢		U+5DE2
05DE4	巤		U+5DE4
05DE5	工		U+5DE5
05DE6	左		U+5DE6
05DE8	巨		U+5DE8
05DE9	巩		U+5DE9
05DEB	巫		U+5DEB
05DEE	差		U+5DEE
05DF1	己		U+5DF1
05DF7	巷		U+5DF7
05DFE	巾		U+5DFE
05E02	市		U+5E02
05E05	帅 		U+5E05
05E08	师		U+5E08
05E10	帐		U+5E10
05E11	帑		U+5E11
05E15	帕		U+5E15
05E18	帘		U+5E18
05E19	帙		U+5E19
05E1A	帚		U+5E1A
05E1B	帛		U+5E1B
05E1E	帞		U+5E1E
05E1F	帟		U+5E1F
05E22	帢		U+5E22
05E2C	帬		U+5E2C
05E2D	席		U+5E2D
05E33	帳		U+5E33
05E4C	幌		U+5E4C
05E72	干		U+5E72
05E74	年		U+5E74
05E75	幵		U+5E75
05E76	并		U+5E76
05E79	幹		U+5E79
05E7B	幻		U+5E7B
05E7F	广		U+5E7F
05E81	庁		U+5E81
05E83	広		U+5E83
05E84	庄		U+5E84
05E86	庆		U+5E86
05E8A	床		U+5E8A
05E8F	序		U+5E8F
05E93	库		U+5E93
05E96	庖		U+5E96
05E9A	庚		U+5E9A
05EA4	庤		U+5EA4
05EA5	庥		U+5EA5
05EA6	度		U+5EA6
05EAB	庫		U+5EAB
05EB6	庶		U+5EB6
05EB7	康		U+5EB7
05EB8	庸		U+5EB8
05EBE	庾		U+5EBE
05EC2	廂		U+5EC2
05ECA	廊		U+5ECA
05ED5	廕		U+5ED5
05EDB	廛		U+5EDB
05EE3	廣		U+5EE3
05EE7	廧		U+5EE7
05EE9	廩		U+5EE9
05EEA	廪		U+5EEA
05EF1	廱		U+5EF1
05EF4	廴		U+5EF4
05EF5	廵		U+5EF5
05EFB	廻		U+5EFB
05EFD	廽		U+5EFD
05EFE	廾		U+5EFE
05EFF	廿		U+5EFF
05F00	开		U+5F00
05F02	异		U+5F02
05F03	弃		U+5F03
05F04	弄		U+5F04
05F08	弈		U+5F08
05F0C	弌		U+5F0C
05F0D	弍		U+5F0D
05F0E	弎		U+5F0E
05F10	弐		U+5F10
05F13	弓		U+5F13
05F18	弘		U+5F18
05F20	张		U+5F20
05F26	弦		U+5F26
05F29	弩		U+5F29
05F35	張		U+5F35
05F36	弶		U+5F36
05F37	強		U+5F37
05F3A	强		U+5F3A
05F49	彉		U+5F49
05F4A	彊		U+5F4A
05F4D	彍		U+5F4D
05F50	彐		U+5F50
05F51	彑		U+5F51
05F52	归		U+5F52
05F58	彘		U+5F58
05F59	彙		U+5F59
05F5A	彚		U+5F5A
05F5D	彝		U+5F5D
05F61	彡		U+5F61
05F62	形		U+5F62
05F64	彤		U+5F64
05F6B	彫		U+5F6B
05F6C	彬		U+5F6C
05F71	影		U+5F71
05F73	彳		U+5F73
05F76	彶		U+5F76
05F77	彷		U+5F77
05F80	往		U+5F80
05F81	征		U+5F81
05F85	待		U+5F85
05F8A	徊		U+5F8A
05F8B	律		U+5F8B
05F8C	後		U+5F8C
05F90	徐		U+5F90
05F92	徒		U+5F92
05F95	徕		U+5F95
05F97	得		U+5F97
05F9E	從		U+5F9E
05FA0	徠		U+5FA0
05FA1	御		U+5FA1
